time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,62.25,269,295,26,17,25,52,330,300,18
00:05:00,68.5,256,249,36,28,14,40,374,393,1
00:10:00,91.67,237,245,34,27,11,36,309,340,0
00:15:00,89.0,284,119,30,15,12,23,218,230,0
00:20:00,96.0,214,140,31,28,6,24,246,269,0
00:25:00,94.67,239,125,20,16,9,22,201,188,0
00:30:00,94.0,263,127,30,15,11,19,212,236,0
00:35:00,95.67,237,138,21,15,13,28,247,247,0
00:40:00,94.0,240,121,25,21,6,18,216,204,0
00:45:00,95.0,263,166,17,14,18,30,249,253,0
00:50:00,94.33,227,132,17,17,14,29,208,226,0
00:55:00,94.0,247,145,19,10,7,30,230,206,0
01:00:00,94.67,211,117,19,13,6,18,187,224,0
01:05:00,96.67,225,137,18,12,8,17,207,197,0
01:10:00,95.67,166,107,10,6,6,17,175,168,0
01:15:00,95.67,194,107,16,15,5,18,169,195,0
01:20:00,96.0,192,98,12,9,6,11,172,175,0
01:25:00,95.0,200,113,16,10,6,16,180,171,0
01:30:00,96.67,151,133,7,7,8,24,177,174,0
01:35:00,96.67,194,88,20,13,5,12,136,146,0
01:40:00,96.67,163,114,16,12,2,11,178,188,0
01:45:00,97.33,156,87,20,17,4,12,146,149,0
01:50:00,95.67,132,76,18,11,5,9,152,157,0
01:55:00,96.0,164,64,8,5,8,17,127,119,0
02:00:00,94.33,126,39,17,12,4,17,125,142,0
02:05:00,97.0,118,28,11,7,6,8,105,115,0
02:10:00,97.0,141,85,12,10,2,15,121,128,0
02:15:00,95.67,150,65,15,8,3,13,103,127,0
02:20:00,96.0,138,45,7,4,4,8,135,140,0
02:25:00,95.0,117,58,10,5,4,11,130,125,0
02:30:00,97.67,114,62,7,3,6,15,99,94,0
02:35:00,97.0,133,62,11,10,4,5,108,121,0
02:40:00,97.33,117,45,9,3,1,9,138,121,0
02:45:00,96.67,126,34,6,7,7,5,98,104,0
02:50:00,98.33,115,49,14,6,1,10,128,138,0
02:55:00,98.67,111,29,5,4,2,7,96,95,0
03:00:00,98.0,113,66,8,6,4,7,94,101,0
03:05:00,97.67,120,15,13,7,5,9,126,126,0
03:10:00,98.33,130,13,8,4,4,8,114,103,0
03:15:00,96.33,97,22,5,4,1,3,107,122,0
03:20:00,98.67,109,25,8,8,0,7,94,87,0
03:25:00,97.0,131,21,9,5,2,10,103,111,0
03:30:00,100.0,146,57,8,9,4,9,125,125,0
03:35:00,94.67,111,69,15,7,1,6,125,148,0
03:40:00,91.0,127,143,7,1,3,4,124,116,1
03:45:00,97.0,123,58,5,7,1,9,110,108,0
03:50:00,100.33,130,50,6,6,3,7,125,117,0
03:55:00,98.67,137,72,8,6,1,6,119,122,0
04:00:00,91.0,150,155,16,14,2,10,138,149,1
04:05:00,98.0,167,112,12,9,1,2,149,136,0
04:10:00,98.0,157,163,8,7,3,4,176,176,0
04:15:00,96.0,163,76,13,12,0,8,154,166,0
04:20:00,96.67,196,45,12,7,3,4,166,171,0
04:25:00,97.67,169,101,13,10,4,9,180,181,0
04:30:00,96.0,200,75,12,9,1,4,177,165,0
04:35:00,97.33,190,85,13,11,1,5,186,203,0
04:40:00,94.67,209,84,18,12,1,12,176,177,0
04:45:00,93.0,240,102,23,20,3,11,239,236,0
04:50:00,95.33,236,131,14,9,2,10,215,220,0
04:55:00,86.75,275,121,22,14,3,15,239,242,1
05:00:00,92.33,263,161,25,19,4,9,256,268,0
05:05:00,93.67,293,154,22,19,6,22,289,285,0
05:10:00,95.0,308,145,29,11,8,14,250,261,0
05:15:00,94.67,300,170,23,16,5,10,312,316,0
05:20:00,95.0,308,167,27,14,5,15,304,298,0
05:25:00,93.67,339,186,36,24,5,17,294,297,0
05:30:00,94.67,364,197,46,32,3,15,341,378,0
05:35:00,91.5,386,229,33,31,7,13,340,366,1
05:40:00,93.33,421,282,37,24,6,21,401,393,0
05:45:00,90.33,431,399,54,28,5,18,391,422,0
05:50:00,87.0,463,618,44,30,10,22,405,425,1
05:55:00,59.0,411,669,40,21,11,20,394,419,2
06:00:00,49.25,407,526,42,33,6,21,367,390,16
06:05:00,55.75,427,533,67,59,12,22,415,433,42
06:10:00,66.5,491,548,77,42,8,21,431,457,93
06:15:00,62.5,527,573,60,42,10,28,459,490,127
06:20:00,76.75,511,553,76,48,13,27,416,475,111
06:25:00,68.0,516,540,82,47,13,26,387,447,117
06:30:00,53.75,477,312,74,62,18,28,409,465,116
06:35:00,45.25,440,400,115,78,10,31,417,495,119
06:40:00,34.0,448,350,118,61,9,27,402,493,130
06:45:00,26.0,457,260,116,95,16,33,350,439,140
06:50:00,26.0,442,276,132,67,18,36,322,426,129
06:55:00,16.75,365,321,93,50,16,28,299,429,110
07:00:00,20.25,370,233,73,31,15,35,332,426,120
07:05:00,12.75,312,244,31,19,18,39,377,419,96
07:10:00,18.0,388,220,40,20,16,31,379,382,118
07:15:00,22.0,410,210,36,19,12,28,346,376,121
07:20:00,24.0,396,193,45,32,17,27,387,416,121
07:25:00,16.5,361,188,39,30,19,34,391,405,119
07:30:00,24.0,427,186,34,22,14,27,336,388,123
07:35:00,22.75,420,219,42,31,17,40,365,407,124
07:40:00,19.0,360,155,53,34,5,22,372,412,107
07:45:00,20.75,393,167,52,36,10,18,361,398,119
07:50:00,19.5,398,149,42,33,16,36,368,399,122
07:55:00,21.0,388,179,48,35,8,21,341,382,119
