time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,22.75,313,280,37,15,19,60,166,176,54
00:05:00,25.0,272,226,54,32,43,84,108,135,16
00:10:00,16.75,203,187,31,17,24,56,126,205,35
00:15:00,22.0,184,222,41,25,29,83,202,253,7
00:20:00,17.0,257,317,40,21,29,84,99,155,75
00:25:00,16.5,296,210,32,12,32,92,173,217,105
00:30:00,20.25,256,289,28,9,30,91,235,267,88
00:35:00,11.5,230,362,25,14,30,85,329,329,81
00:40:00,20.5,306,402,37,23,33,85,226,244,80
00:45:00,30.0,412,297,27,11,18,45,120,140,101
00:50:00,23.25,328,219,21,12,19,59,90,177,100
00:55:00,15.75,224,164,27,9,32,62,145,172,89
01:00:00,11.75,168,218,24,8,34,65,128,183,61
01:05:00,16.25,169,202,24,10,29,59,117,175,53
01:10:00,15.5,181,200,33,17,37,77,128,176,59
01:15:00,15.75,179,205,35,15,41,87,110,160,53
01:20:00,14.5,186,172,22,13,15,48,85,145,73
01:25:00,13.0,175,120,24,11,25,41,122,199,55
01:30:00,12.0,120,187,27,12,24,64,311,346,49
01:35:00,13.5,103,404,25,18,12,40,273,230,29
01:40:00,41.5,297,302,15,11,18,28,238,263,40
01:45:00,44.5,402,323,27,15,18,56,249,256,66
01:50:00,28.5,275,342,24,10,30,63,335,361,35
01:55:00,88.0,155,391,12,11,5,24,363,343,0
02:00:00,100.67,159,226,14,10,6,18,260,324,0
02:05:00,96.33,128,124,17,11,3,9,124,152,0
02:10:00,100.0,116,123,9,7,5,11,109,117,0
02:15:00,95.33,148,130,11,8,1,7,124,130,0
02:20:00,95.0,133,150,11,6,4,13,130,127,0
02:25:00,98.33,138,127,5,5,4,9,117,102,0
02:30:00,100.0,124,129,13,9,3,11,126,136,0
02:35:00,96.67,154,148,9,7,2,8,132,123,0
02:40:00,101.33,150,165,8,3,1,10,151,155,0
02:45:00,99.67,121,118,10,8,4,9,114,131,0
02:50:00,96.33,144,135,11,8,3,9,129,127,0
02:55:00,98.0,126,127,11,8,1,3,124,117,0
03:00:00,97.67,115,108,15,10,2,5,113,142,0
03:05:00,99.33,126,144,14,11,2,7,130,127,0
03:10:00,96.67,138,128,12,10,6,9,111,120,0
03:15:00,98.33,146,148,9,7,6,14,137,134,0
03:20:00,97.67,152,142,14,12,2,10,136,140,0
03:25:00,99.0,136,146,21,13,0,5,137,138,0
03:30:00,100.67,160,145,9,7,3,8,134,140,0
03:35:00,101.67,144,151,18,17,2,9,143,136,0
03:40:00,100.0,172,175,12,7,3,12,150,170,0
03:45:00,98.33,143,139,13,9,0,8,146,151,0
03:50:00,96.33,161,152,6,6,0,6,147,132,0
03:55:00,100.0,168,179,13,4,2,6,171,155,0
04:00:00,98.0,160,154,13,9,5,11,148,164,0
04:05:00,100.0,188,179,9,9,8,11,162,148,0
04:10:00,97.33,166,180,16,13,4,11,169,186,0
04:15:00,97.33,220,206,12,8,4,9,184,165,0
04:20:00,98.0,210,218,12,8,4,12,210,207,0
04:25:00,95.33,203,179,25,16,0,8,167,184,0
04:30:00,97.0,236,252,9,8,4,11,244,231,0
04:35:00,95.33,240,246,17,9,4,11,244,250,0
04:40:00,97.0,280,259,21,14,8,14,222,230,0
04:45:00,95.67,265,273,25,12,7,11,258,264,0
04:50:00,96.67,290,284,16,12,3,3,270,267,0
04:55:00,94.67,290,279,10,9,2,9,264,278,0
05:00:00,96.0,315,312,14,8,4,13,318,315,0
05:05:00,96.67,286,314,32,15,3,14,292,285,0
05:10:00,92.33,345,302,32,24,5,12,278,281,0
05:15:00,93.33,338,358,31,22,3,18,344,349,0
05:20:00,95.0,366,338,31,16,8,16,318,339,0
05:25:00,91.67,381,370,36,30,2,10,355,360,0
05:30:00,92.67,402,396,34,20,7,14,396,401,0
05:35:00,89.0,421,402,59,32,2,13,381,364,0
05:40:00,74.0,448,407,35,27,9,17,399,418,0
05:45:00,54.25,407,409,49,32,5,12,398,436,1
05:50:00,40.0,408,404,46,35,9,17,380,424,0
05:55:00,49.75,402,409,41,22,1,10,423,415,1
06:00:00,51.75,478,477,52,35,11,20,391,421,77
06:05:00,62.5,479,553,40,25,9,24,419,472,95
06:10:00,59.25,493,483,64,37,10,22,392,430,101
06:15:00,63.0,473,456,52,34,16,32,380,420,107
06:20:00,58.5,481,453,78,37,13,24,365,435,119
06:25:00,38.0,430,424,58,37,11,26,387,444,117
06:30:00,29.0,402,451,68,46,21,33,395,435,116
06:35:00,34.75,440,444,105,68,14,34,386,462,122
06:40:00,23.5,408,450,84,51,14,32,374,436,129
06:45:00,23.5,449,412,92,66,18,36,350,416,128
06:50:00,21.0,393,429,90,61,9,26,332,434,115
06:55:00,25.75,429,372,72,45,18,32,325,405,127
07:00:00,18.5,373,355,74,51,12,24,346,415,118
07:05:00,20.0,333,399,63,39,16,35,342,401,113
07:10:00,18.5,369,383,69,42,15,28,363,428,117
07:15:00,15.75,350,399,85,55,6,15,352,416,114
07:20:00,18.5,374,397,61,40,17,29,316,374,110
07:25:00,20.75,379,392,58,37,14,30,335,404,120
07:30:00,16.0,347,359,78,44,14,27,354,414,105
07:35:00,23.5,332,405,68,52,11,24,329,400,88
07:40:00,24.25,388,376,89,53,17,28,325,408,124
07:45:00,21.25,384,376,85,53,12,23,336,421,121
07:50:00,18.75,376,383,80,62,5,15,330,389,125
07:55:00,16.5,368,403,87,52,19,32,333,406,109
08:00:00,20.25,394,363,83,59,16,26,303,392,118
08:05:00,20.75,370,345,83,58,7,23,313,395,117
