time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,99.33,201,198,19,15,12,22,185,190,0
00:05:00,96.0,233,230,21,16,10,27,182,185,0
00:10:00,100.0,207,220,19,10,13,29,194,199,0
00:15:00,100.33,184,192,15,14,12,20,181,167,0
00:20:00,100.67,192,187,25,14,7,11,185,206,0
00:25:00,100.33,214,204,15,9,13,32,193,189,0
00:30:00,99.67,216,203,23,15,10,21,170,172,0
00:35:00,99.33,180,188,22,15,15,25,147,163,0
00:40:00,99.67,180,199,16,12,4,22,189,186,0
00:45:00,98.67,153,144,15,15,3,14,144,158,0
00:50:00,101.33,168,169,12,8,6,16,145,155,0
00:55:00,100.67,157,162,13,7,8,15,161,160,0
01:00:00,97.67,167,158,7,7,6,15,142,154,0
01:05:00,101.0,149,153,9,7,6,18,140,131,0
01:10:00,101.0,159,143,6,5,3,16,130,144,0
01:15:00,98.0,152,159,14,11,14,21,118,124,0
01:20:00,101.67,142,137,14,6,6,13,137,152,0
01:25:00,101.5,135,141,19,12,7,15,136,136,1
01:30:00,100.33,109,115,6,6,7,16,89,113,0
01:35:00,98.0,119,125,7,5,4,15,112,101,0
01:40:00,98.0,138,127,13,9,4,9,110,117,0
01:45:00,99.33,108,95,9,4,7,7,99,106,0
01:50:00,98.67,116,135,6,6,5,11,117,116,0
01:55:00,99.67,103,103,14,11,1,9,92,103,0
02:00:00,97.0,89,100,7,6,1,10,80,94,0
02:05:00,100.5,114,110,5,2,2,6,102,99,1
02:10:00,103.33,129,128,9,6,6,13,104,109,0
02:15:00,100.33,110,107,13,9,4,10,114,110,0
02:20:00,101.33,98,99,9,8,4,9,84,101,0
02:25:00,100.0,90,91,7,2,1,4,100,80,0
02:30:00,98.67,95,105,5,6,4,8,97,96,0
02:35:00,100.67,88,81,5,2,4,5,84,100,0
02:40:00,104.67,95,95,5,4,1,6,83,80,0
02:45:00,101.67,89,86,3,1,14,10,80,79,0
02:50:00,102.33,83,93,8,9,5,8,98,78,0
02:55:00,100.33,91,81,10,4,1,6,68,87,0
03:00:00,102.0,81,80,6,4,2,8,74,87,0
03:05:00,99.67,80,77,10,7,2,5,69,69,0
03:10:00,99.0,95,87,7,5,3,6,94,100,1
03:15:00,99.67,78,87,8,4,2,6,83,89,0
03:20:00,102.67,68,69,13,8,2,5,70,81,0
03:25:00,101.0,89,73,5,4,2,6,64,73,0
03:30:00,99.67,97,106,11,9,2,12,93,92,0
03:35:00,102.0,100,94,10,6,3,6,88,100,0
03:40:00,99.67,91,85,7,5,1,4,70,76,0
03:45:00,101.67,109,110,10,7,1,5,111,96,0
03:50:00,101.33,110,110,6,4,2,6,98,107,0
03:55:00,100.67,115,112,4,1,1,9,114,107,0
04:00:00,101.0,97,100,6,3,3,6,91,89,0
04:05:00,103.0,107,106,9,3,1,4,100,101,0
04:10:00,100.33,114,89,5,5,0,10,92,107,0
04:15:00,100.33,125,141,5,3,5,13,128,118,0
04:20:00,97.0,150,133,13,10,2,5,127,131,0
04:25:00,101.33,147,150,9,9,3,8,129,130,0
04:30:00,101.0,157,149,10,9,2,10,139,140,3
04:35:00,96.33,191,191,21,15,4,8,168,156,0
04:40:00,89.5,171,180,13,10,3,15,181,206,1
04:45:00,97.0,180,174,13,10,3,13,158,159,0
04:50:00,97.33,176,174,9,4,6,12,177,157,0
04:55:00,96.67,199,210,13,5,6,15,182,176,0
05:00:00,98.33,204,190,23,18,3,12,172,178,0
05:05:00,93.67,208,215,18,14,10,17,207,200,0
05:10:00,98.0,232,204,21,17,3,10,180,203,0
05:15:00,97.67,237,261,22,15,6,17,237,227,0
05:20:00,96.33,240,215,18,10,5,15,197,230,0
05:25:00,73.25,286,287,24,19,5,14,272,253,2
05:30:00,88.67,288,287,38,23,3,10,275,283,0
05:35:00,91.33,346,330,23,19,2,12,306,331,0
05:40:00,94.33,312,337,50,35,5,19,335,333,0
05:45:00,86.67,378,333,32,20,7,21,303,332,0
05:50:00,72.75,375,388,41,27,13,19,355,372,1
05:55:00,69.75,399,379,40,29,3,15,351,378,1
06:00:00,91.75,409,396,44,15,7,18,401,418,10
06:05:00,90.5,460,475,47,36,9,30,409,430,26
06:10:00,88.25,469,454,61,35,8,20,402,454,37
06:15:00,71.0,488,551,51,42,7,30,443,445,85
06:20:00,70.75,516,560,64,45,9,20,484,515,97
06:25:00,73.25,514,580,81,54,12,34,476,475,97
06:30:00,73.75,537,531,72,66,10,24,383,439,110
06:35:00,74.25,537,501,103,65,19,50,399,474,104
06:40:00,45.0,472,490,117,75,20,45,396,484,139
06:45:00,47.0,501,447,114,74,20,33,368,477,136
06:50:00,33.0,464,383,122,76,15,37,342,446,139
06:55:00,17.25,372,403,93,44,26,42,357,453,120
07:00:00,20.25,375,405,42,21,19,37,364,431,115
07:05:00,21.0,390,427,46,25,13,35,373,428,113
07:10:00,19.75,397,424,35,24,21,33,374,408,122
07:15:00,19.25,425,425,34,22,12,27,382,432,117
07:20:00,26.0,428,462,37,22,13,33,394,402,114
07:25:00,29.75,431,443,44,31,14,40,395,437,122
07:30:00,23.0,409,448,31,19,20,38,393,431,117
07:35:00,22.75,418,436,34,22,16,36,394,416,122
07:40:00,21.0,428,428,41,32,9,20,404,423,121
07:45:00,21.75,403,480,31,17,11,26,381,412,122
07:50:00,27.75,452,390,43,22,18,34,377,430,127
07:55:00,28.25,433,437,37,20,20,35,399,423,132
08:00:00,21.25,392,451,34,17,11,24,386,411,118
08:05:00,24.5,428,434,37,26,15,32,385,404,120
08:10:00,20.75,408,440,38,28,13,28,372,409,113
08:15:00,22.75,405,409,38,20,13,27,386,395,122
08:20:00,25.0,428,451,32,22,6,26,375,408,134
08:25:00,23.5,427,415,56,29,18,43,385,422,121
08:30:00,20.75,407,450,60,45,9,30,364,417,116
08:35:00,26.25,416,385,48,34,19,44,355,405,126
