time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,96.0,314,328,29,25,13,35,296,288,0
00:05:00,93.67,313,319,30,32,14,35,277,270,0
00:10:00,97.33,296,288,35,18,9,25,272,311,0
00:15:00,98.33,257,260,23,17,10,15,266,305,0
00:20:00,95.33,275,290,36,22,10,24,247,243,0
00:25:00,94.75,292,261,25,16,6,19,232,230,1
00:30:00,96.0,265,285,12,8,15,27,289,311,0
00:35:00,95.67,291,297,24,20,3,22,257,249,0
00:40:00,96.33,285,281,23,8,5,18,272,256,0
00:45:00,96.67,255,255,12,11,4,14,243,278,0
00:50:00,96.33,312,305,21,17,6,20,282,261,0
00:55:00,96.0,284,284,15,9,8,16,265,280,0
01:00:00,100.33,195,265,19,17,4,17,258,255,0
01:05:00,98.67,269,249,19,11,3,12,229,208,0
01:10:00,99.33,192,215,15,15,1,9,220,254,0
01:15:00,100.0,233,232,19,10,3,7,205,211,0
01:20:00,98.33,217,228,17,13,5,9,230,212,0
01:25:00,99.33,218,211,18,11,11,14,194,198,0
01:30:00,100.0,208,213,14,10,2,10,199,202,0
01:35:00,100.0,203,204,5,3,3,10,208,203,0
01:40:00,100.67,209,201,13,9,6,13,183,186,0
01:45:00,103.33,175,176,10,8,1,10,171,165,0
01:50:00,101.0,173,181,16,11,4,14,168,176,0
01:55:00,99.33,158,162,20,16,4,12,159,152,0
02:00:00,101.33,138,136,10,6,5,11,124,142,0
02:05:00,100.0,172,170,6,4,4,8,168,145,0
02:10:00,100.33,149,148,11,15,3,9,142,154,0
02:15:00,100.0,148,151,11,12,2,6,145,152,0
02:20:00,99.67,147,155,12,10,1,4,148,150,0
02:25:00,96.67,155,151,10,7,1,7,143,144,0
02:30:00,98.33,160,154,11,8,3,6,158,145,0
02:35:00,97.67,135,146,10,5,4,10,141,162,0
02:40:00,100.33,154,146,11,7,2,8,131,131,0
02:45:00,103.0,135,135,13,10,4,11,129,130,0
02:50:00,100.0,170,177,13,9,5,11,169,150,0
02:55:00,102.33,140,135,9,3,2,8,133,150,0
03:00:00,100.33,107,120,14,9,3,7,104,106,0
03:05:00,100.0,153,136,8,7,1,8,122,127,0
03:10:00,101.67,153,160,11,4,2,10,165,152,0
03:15:00,101.67,130,129,8,3,2,4,125,130,0
03:20:00,97.0,141,135,10,8,1,3,129,127,0
03:25:00,99.75,149,154,6,3,1,4,161,153,1
03:30:00,99.67,155,143,9,6,4,9,128,145,0
03:35:00,100.0,188,193,7,6,3,11,194,153,0
03:40:00,99.33,177,170,9,4,5,6,149,183,0
03:45:00,99.0,165,165,5,5,5,8,167,163,0
03:50:00,101.33,181,181,7,5,1,7,167,156,0
03:55:00,101.33,168,184,13,10,3,10,178,182,0
04:00:00,98.33,183,174,11,10,4,8,183,179,0
04:05:00,97.67,197,196,17,13,2,8,173,180,0
04:10:00,100.5,204,201,11,8,3,11,203,184,1
04:15:00,98.33,226,213,20,10,2,7,191,218,0
04:20:00,97.67,225,244,17,14,3,8,243,220,0
04:25:00,97.0,269,242,12,11,2,9,224,241,0
04:30:00,100.0,243,263,17,9,0,7,242,233,0
04:35:00,95.67,310,300,7,8,4,13,289,251,0
04:40:00,98.67,290,306,19,11,6,10,312,314,0
04:45:00,98.0,308,313,19,13,3,9,305,278,1
04:50:00,96.67,332,321,32,13,7,13,301,319,0
04:55:00,95.33,347,340,23,18,5,12,335,335,0
05:00:00,93.67,389,382,27,23,6,17,353,363,0
05:05:00,93.0,381,379,25,18,5,18,357,362,0
05:10:00,94.33,358,367,32,28,6,14,371,362,0
05:15:00,91.33,404,400,21,17,4,14,358,358,0
05:20:00,80.67,436,408,35,20,7,19,399,412,0
05:25:00,85.0,432,403,41,26,6,16,406,411,0
05:30:00,56.67,420,379,46,28,3,13,360,387,0
05:35:00,45.0,365,382,42,21,5,15,359,394,4
05:40:00,48.0,386,392,30,28,2,12,384,418,1
05:45:00,36.67,396,398,54,33,3,10,397,400,0
05:50:00,50.0,384,379,49,34,5,13,367,405,1
05:55:00,34.33,386,368,42,28,3,13,353,381,0
06:00:00,35.5,417,452,57,41,5,16,408,414,53
06:05:00,49.0,495,526,46,34,11,20,444,468,112
06:10:00,49.5,510,561,72,41,11,18,457,494,114
06:15:00,49.0,539,549,85,65,9,16,426,456,147
06:20:00,49.0,505,488,90,56,16,29,412,501,119
06:25:00,42.0,521,456,84,44,12,25,404,460,134
06:30:00,26.75,452,427,83,59,8,23,352,423,134
06:35:00,23.75,439,411,123,92,9,18,335,438,128
06:40:00,16.5,377,349,109,65,7,13,280,411,110
06:45:00,15.5,367,318,132,82,12,24,327,462,112
06:50:00,13.75,319,367,131,83,17,37,266,397,91
06:55:00,14.5,340,301,103,47,13,32,298,417,107
07:00:00,15.25,338,348,54,30,14,26,346,394,98
07:05:00,10.5,279,385,44,23,10,31,359,410,83
07:10:00,19.5,379,431,32,28,15,30,373,392,110
07:15:00,17.25,381,392,34,21,16,36,360,402,111
07:20:00,21.75,423,402,29,22,15,29,386,393,121
07:25:00,17.75,372,429,37,27,11,14,373,429,108
07:30:00,24.75,421,402,37,21,5,17,376,395,125
07:35:00,20.0,373,421,35,31,7,24,395,414,113
07:40:00,22.0,409,424,46,29,6,16,380,418,117
07:45:00,22.0,379,419,36,26,12,24,370,404,107
07:50:00,19.75,379,422,39,23,8,14,374,413,113
07:55:00,21.0,397,431,47,33,11,25,335,389,121
08:00:00,25.5,434,370,39,25,12,24,364,386,125
08:05:00,19.75,407,420,37,20,8,32,374,414,121
08:10:00,17.75,355,418,42,26,4,27,364,399,107
08:15:00,27.0,414,407,34,26,9,25,376,416,115
08:20:00,22.0,423,426,53,42,15,32,364,410,126
08:25:00,21.25,409,428,47,36,11,32,369,399,129
08:30:00,22.5,414,401,58,39,10,28,369,435,115
08:35:00,19.0,378,422,52,39,8,31,360,419,109
08:40:00,23.75,408,401,70,51,11,27,349,397,116
08:45:00,26.75,403,382,80,63,6,27,336,410,113
08:50:00,16.5,359,375,72,52,9,30,360,430,107
08:55:00,18.25,351,390,76,57,9,27,332,418,106
09:00:00,21.0,391,365,77,48,7,30,314,391,116
09:05:00,19.0,370,363,65,52,7,34,342,393,105
09:10:00,18.25,345,399,71,52,11,23,342,405,107
09:15:00,16.5,363,360,83,66,15,30,307,388,99
09:20:00,18.5,375,362,85,59,11,30,321,412,107
09:25:00,18.25,336,364,61,44,6,26,338,396,106
09:30:00,14.25,343,389,77,54,7,20,358,409,88
09:35:00,19.0,383,405,85,68,12,38,317,403,107
09:40:00,18.25,381,365,83,53,10,28,323,397,109
09:45:00,15.25,344,366,82,64,8,27,367,431,97
09:50:00,17.75,361,397,90,61,9,29,293,393,99
09:55:00,20.5,370,343,80,60,7,23,326,411,109
10:00:00,13.25,311,376,80,45,10,27,351,422,86
10:05:00,17.25,369,392,66,44,17,31,347,404,109
10:10:00,18.25,362,404,73,50,14,23,324,389,104
10:15:00,22.5,388,336,75,45,7,24,317,357,109
10:20:00,16.75,353,394,83,56,22,37,266,332,100
10:25:00,21.25,385,283,75,46,9,23,335,428,101
10:30:00,14.0,315,424,70,57,15,35,374,400,92
10:35:00,18.25,339,405,53,41,10,32,325,372,100
