time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,96.67,236,236,23,8,13,26,194,217,0
00:05:00,100.0,184,205,22,16,12,28,196,206,0
00:10:00,100.0,232,223,17,12,13,28,178,194,0
00:15:00,102.33,198,219,28,18,13,27,188,203,0
00:20:00,98.33,205,202,18,11,8,24,182,183,0
00:25:00,97.33,204,206,25,16,12,21,181,202,0
00:30:00,97.67,208,200,24,18,13,26,184,186,0
00:35:00,100.0,192,190,14,11,12,20,165,185,0
00:40:00,99.67,218,210,17,11,8,20,202,202,0
00:45:00,99.0,215,212,12,4,7,22,202,204,0
00:50:00,106.0,166,188,19,16,7,16,146,148,1
00:55:00,91.0,201,187,15,13,9,22,188,194,4
01:00:00,97.33,190,194,21,13,6,15,181,181,0
01:05:00,100.33,177,194,16,11,3,15,171,170,0
01:10:00,101.0,177,169,14,10,6,14,150,163,0
01:15:00,97.67,170,164,16,7,8,18,164,168,0
01:20:00,100.0,210,223,10,10,5,21,173,173,0
01:25:00,98.67,165,165,14,7,4,15,176,179,0
01:30:00,100.0,149,147,12,9,7,12,122,132,0
01:35:00,99.33,139,137,9,2,6,18,133,133,0
01:40:00,98.67,155,148,16,12,8,14,144,152,0
01:45:00,97.33,192,194,11,9,7,13,153,162,0
01:50:00,98.33,158,158,12,7,8,20,154,155,0
01:55:00,101.0,110,126,11,7,8,16,134,133,0
02:00:00,100.33,141,123,11,7,5,10,105,112,0
02:05:00,102.0,137,135,7,2,7,14,124,131,0
02:10:00,99.0,141,147,8,6,5,11,133,128,0
02:15:00,100.67,128,131,10,8,10,14,123,127,0
02:20:00,100.0,127,124,11,8,5,12,109,121,0
02:25:00,100.0,132,146,11,6,10,16,128,136,0
02:30:00,102.0,101,98,12,8,1,5,108,102,0
02:35:00,101.67,120,119,10,7,6,6,96,101,0
02:40:00,100.67,122,117,9,7,5,10,113,117,0
02:45:00,100.5,118,112,9,7,3,9,104,112,0
02:50:00,100.33,114,108,10,7,2,9,96,108,0
02:55:00,100.67,98,90,7,4,0,4,95,97,0
03:00:00,100.67,104,115,8,6,5,8,98,106,0
03:05:00,98.33,120,116,11,7,2,13,103,111,0
03:10:00,100.33,98,101,11,4,2,8,94,107,0
03:15:00,99.33,116,99,5,3,0,3,93,92,0
03:20:00,101.33,115,138,7,5,2,7,126,127,0
03:25:00,102.33,111,104,7,4,2,12,102,106,0
03:30:00,100.67,106,107,8,5,1,6,99,110,0
03:35:00,100.33,127,125,8,7,1,5,117,127,0
03:40:00,99.0,127,112,10,4,7,12,101,133,0
03:45:00,100.33,124,136,5,4,4,13,111,113,0
03:50:00,80.75,136,127,8,5,1,8,127,130,1
03:55:00,100.33,151,160,14,6,5,11,127,126,0
04:00:00,99.33,133,111,13,9,3,13,135,143,0
04:05:00,99.67,127,132,7,6,3,6,121,122,0
04:10:00,100.33,125,139,12,9,1,5,121,129,0
04:15:00,102.33,136,134,11,5,2,6,143,149,0
04:20:00,99.0,151,139,11,6,4,7,127,131,0
04:25:00,97.33,165,161,5,5,2,12,151,142,0
04:30:00,98.67,154,145,13,11,3,14,130,141,0
04:35:00,96.0,156,172,14,9,5,10,160,165,0
04:40:00,97.33,191,191,5,4,4,10,173,179,0
04:45:00,96.67,236,230,14,12,6,13,187,192,0
04:50:00,94.33,204,198,19,12,1,13,211,217,0
04:55:00,98.0,183,189,14,11,4,18,166,177,0
05:00:00,97.67,197,206,27,16,5,10,197,218,0
05:05:00,97.0,191,178,17,8,1,12,167,180,0
05:10:00,97.33,183,193,11,7,5,13,193,190,0
05:15:00,95.67,236,224,18,15,3,8,212,217,0
05:20:00,94.33,238,226,23,16,4,15,207,209,0
05:25:00,95.67,226,235,18,11,6,16,224,233,0
05:30:00,94.33,235,246,22,16,4,14,216,225,0
05:35:00,91.0,281,279,17,14,6,12,268,265,0
05:40:00,94.33,276,254,28,20,4,14,260,270,0
05:45:00,92.33,291,294,22,18,8,16,259,276,0
05:50:00,92.67,296,308,33,23,10,28,287,271,0
05:55:00,94.0,262,273,24,13,5,24,234,250,0
06:00:00,95.75,275,275,25,18,5,18,271,274,6
06:05:00,95.0,307,297,42,25,5,11,260,286,4
06:10:00,94.5,300,308,40,22,5,13,304,318,5
06:15:00,96.5,322,331,33,25,10,23,296,310,12
06:20:00,99.25,282,280,40,30,12,25,262,290,3
06:25:00,96.5,347,310,55,35,8,26,309,340,14
06:30:00,97.75,340,360,61,46,6,22,291,305,19
06:35:00,100.5,357,390,55,46,20,40,367,380,18
06:40:00,98.5,356,335,64,44,9,25,328,380,21
06:45:00,99.75,365,371,67,48,13,31,331,386,24
06:50:00,98.25,403,440,65,36,13,26,361,407,19
06:55:00,100.0,381,389,44,29,17,33,349,379,21
07:00:00,95.75,424,439,45,28,15,37,383,413,27
07:05:00,98.5,393,388,51,38,8,26,370,394,25
07:10:00,97.75,368,337,70,37,15,37,330,381,17
07:15:00,96.0,380,353,45,32,10,29,356,374,36
07:20:00,97.25,372,372,54,45,13,28,314,351,19
07:25:00,98.5,369,389,53,38,13,30,356,390,20
07:30:00,98.75,363,413,44,33,19,38,359,388,27
07:35:00,97.0,371,336,69,45,3,22,311,355,23
07:40:00,100.5,339,377,62,42,8,34,312,343,19
07:45:00,99.0,371,413,60,44,15,46,355,398,25
07:50:00,97.5,412,396,76,53,12,35,328,395,32
07:55:00,98.75,352,371,71,50,19,43,349,374,20
08:00:00,97.5,396,355,77,49,9,30,337,403,25
08:05:00,97.75,366,350,67,47,19,41,346,407,23
08:10:00,97.5,423,419,53,39,16,46,375,393,30
08:15:00,99.5,329,376,72,51,15,38,312,375,17
08:20:00,97.75,363,366,51,31,21,37,307,319,18
08:25:00,96.75,381,392,82,51,12,36,358,410,27
08:30:00,100.0,380,405,48,29,19,42,323,348,28
08:35:00,99.5,349,379,69,45,16,38,322,371,22
08:40:00,100.0,372,377,70,49,23,57,314,370,28
08:45:00,95.0,411,410,80,52,21,46,317,373,23
08:50:00,97.0,397,427,83,49,15,44,371,431,23
08:55:00,99.75,369,373,45,50,20,53,345,397,26
09:00:00,98.75,388,340,105,67,29,56,324,407,29
09:05:00,98.75,416,433,95,60,17,43,352,405,18
09:10:00,97.0,412,391,94,63,21,39,356,431,27
09:15:00,99.5,375,398,88,60,18,59,364,431,24
09:20:00,96.75,415,409,82,53,22,41,331,385,30
09:25:00,98.25,385,382,83,56,21,39,352,422,11
09:30:00,96.0,406,361,97,63,17,45,357,424,24
09:35:00,92.0,456,483,87,62,31,59,354,408,28
09:40:00,97.5,429,409,75,52,23,44,412,472,21
09:45:00,99.5,415,407,94,63,25,60,374,435,30
09:50:00,94.0,467,477,87,61,21,48,391,444,42
09:55:00,94.0,452,486,108,73,21,58,424,505,36
10:00:00,98.0,447,495,98,67,13,43,412,482,37
10:05:00,93.5,488,404,107,73,18,56,365,451,51
10:10:00,94.5,458,510,88,53,24,57,433,489,50
10:15:00,93.25,489,522,112,69,17,56,342,434,44
10:20:00,97.25,431,450,110,66,32,60,384,472,37
10:25:00,94.5,474,500,101,62,26,72,420,484,43
10:30:00,94.75,457,504,103,72,19,63,433,486,43
10:35:00,91.75,449,503,98,64,25,53,423,499,28
