time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,86.5,401,371,35,31,12,27,333,329,9
00:05:00,94.0,378,383,37,30,5,19,364,333,2
00:10:00,84.0,363,360,33,20,15,38,332,371,0
00:15:00,89.33,328,306,41,34,13,23,278,314,0
00:20:00,83.33,373,387,39,24,7,29,356,366,0
00:25:00,87.33,369,348,20,14,14,22,338,331,0
00:30:00,87.0,367,372,33,27,17,30,330,347,0
00:35:00,89.67,307,327,33,25,11,26,305,332,0
00:40:00,83.67,400,361,21,12,10,15,331,322,0
00:45:00,88.0,327,327,24,16,6,21,332,342,0
00:50:00,85.0,377,362,24,18,10,21,340,344,0
00:55:00,85.67,373,371,28,20,10,29,329,339,0
01:00:00,86.33,365,372,23,13,16,28,364,368,0
01:05:00,88.67,370,342,21,15,7,23,319,309,0
01:10:00,91.0,313,327,27,20,8,19,320,349,0
01:15:00,89.0,289,285,15,12,4,19,274,256,0
01:20:00,89.33,365,364,16,13,4,17,329,316,0
01:25:00,90.0,307,306,22,15,7,17,314,319,0
01:30:00,90.67,281,284,20,9,16,26,263,270,0
01:35:00,92.33,295,269,16,12,9,19,260,267,0
01:40:00,92.33,271,290,28,16,8,20,253,253,0
01:45:00,91.33,265,245,14,12,4,8,244,257,0
01:50:00,91.67,294,316,13,9,3,12,292,261,0
01:55:00,93.67,247,217,10,7,1,10,221,239,0
02:00:00,93.33,256,271,15,12,5,16,273,258,0
02:05:00,91.67,296,277,16,14,8,17,248,236,0
02:10:00,95.0,236,239,11,7,5,11,238,253,0
02:15:00,91.33,255,250,18,11,5,14,225,216,0
02:20:00,94.0,246,254,14,13,3,10,252,265,0
02:25:00,93.33,241,225,12,6,2,10,218,214,0
02:30:00,93.33,239,234,14,8,7,12,225,216,0
