time,speed,nfbVD-N1-S-88.060-M-LOOP,nfbVD-N1-S-90.000-M-LOOP,nfbVD-N1-S-91-I-WS-1-竹北,nfbVD-N1-S-91-I-WS-2-竹北,nfbVD-N1-S-91-O-NE-2-竹北,nfbVD-N1-S-91-O-NW-1-竹北,nfbVD-N1-S-91.180-N-LOOP,nfbVD-N1-S-91.825-M-RS,shoulder
00:00:00,39.5,445,478,40,24,16,40,382,392,96
00:05:00,40.5,391,499,35,26,24,51,408,397,54
00:10:00,95.75,285,421,41,33,12,38,362,389,8
00:15:00,99.0,271,294,24,17,6,23,280,336,1
00:20:00,95.33,235,236,33,20,10,20,213,222,0
00:25:00,97.0,231,246,28,23,9,23,229,242,0
00:30:00,97.67,251,260,30,24,8,18,247,250,0
00:35:00,93.33,259,223,24,20,8,20,186,187,0
00:40:00,98.33,257,308,26,22,13,41,286,278,0
00:45:00,100.67,245,219,26,10,12,17,196,226,0
00:50:00,101.0,268,263,14,7,6,18,248,220,1
00:55:00,96.33,217,242,32,21,5,13,225,226,0
01:00:00,96.33,213,189,16,9,6,17,194,203,0
01:05:00,96.0,224,234,15,12,5,20,212,193,0
01:10:00,96.67,205,198,24,19,4,12,188,195,0
01:15:00,98.67,170,194,17,14,4,12,189,200,0
01:20:00,95.33,189,186,15,11,4,16,164,153,0
01:25:00,98.67,178,177,15,12,7,21,153,154,0
01:30:00,98.33,147,158,16,11,3,6,159,178,0
01:35:00,97.0,169,150,15,12,0,6,139,137,0
01:40:00,103.0,150,183,11,7,7,19,166,148,0
01:45:00,98.67,141,143,13,8,5,18,132,140,0
01:50:00,98.67,156,152,10,7,9,18,135,130,0
01:55:00,99.67,144,142,11,10,6,17,128,126,0
02:00:00,99.0,147,133,8,6,2,10,126,121,0
02:05:00,98.0,137,157,11,7,2,9,145,149,0
02:10:00,97.67,110,108,13,12,3,11,103,110,0
02:15:00,98.0,136,136,10,8,3,10,124,117,0
02:20:00,100.33,115,115,2,2,8,11,109,107,0
02:25:00,101.67,121,123,10,7,5,13,111,100,0
02:30:00,99.0,111,99,9,9,5,9,91,105,0
02:35:00,100.0,116,123,6,3,0,7,117,113,0
02:40:00,98.67,111,116,17,13,0,7,109,114,0
02:45:00,99.67,124,129,8,3,4,9,117,122,0
02:50:00,100.0,120,131,7,5,1,6,129,133,0
02:55:00,99.67,102,116,10,5,7,14,101,108,0
