flow,out,speed
350,15,15.75
374,29,18.5
379,30,20.75
347,27,16.0
332,24,23.5
388,28,24.25
384,23,21.25
376,15,18.75
368,32,16.5
394,26,20.25
370,23,20.75
329,37,14.25
352,31,18.75
362,25,17.0
341,28,16.75
395,30,20.5
377,37,16.25
390,27,20.75
340,36,16.25
316,29,13.25
380,22,22.0
341,36,16.25
323,36,13.75
381,36,18.5
314,31,16.5
363,37,15.25
308,26,13.5
349,27,17.25
319,39,14.25
375,28,17.75
345,28,17.75
304,39,15.25
243,40,13.5
320,52,21.0
323,35,16.75
328,34,17.5
320,39,15.25
308,49,13.75
300,35,15.5
361,34,16.25
292,40,11.75
339,44,13.75
289,46,11.75
279,53,12.5
329,45,20.5
268,53,11.25
306,62,13.25
391,48,22.25
