flow,out,speed
404,26,22.0
381,24,22.0
347,29,17.5
403,28,24.75
423,35,26.25
385,29,23.75
412,16,22.25
402,22,23.0
366,19,19.0
411,31,23.25
414,19,26.5
403,33,22.25
410,35,28.25
398,32,26.75
407,30,25.88
417,28,25.0
416,26,22.25
395,32,21.5
340,23,17.75
346,47,19.5
419,31,30.75
389,41,32.25
399,30,27.0
350,15,20.75
364,31,25.75
401,34,24.0
376,30,22.75
363,32,18.25
388,22,27.0
402,29,28.5
374,32,31.0
320,32,19.75
352,33,19.5
383,27,24.38
414,21,29.25
404,22,26.75
394,24,24.25
373,42,21.75
357,44,21.25
358,43,24.5
388,47,30.25
419,51,36.0
381,45,30.0
313,51,25.0
383,40,30.5
367,44,19.5
384,66,31.25
376,75,24.75
