flow,out,speed
396,26,18.0
400,35,17.5
404,25,18.25
389,29,18.0
436,23,21.5
403,29,20.0
395,35,19.5
372,31,21.25
399,24,21.0
396,33,19.25
341,30,17.5
379,19,22.5
378,21,23.5
388,26,18.25
368,32,16.25
458,28,24.75
443,32,31.25
433,41,32.25
422,33,29.25
383,33,26.25
372,33,19.0
359,28,18.0
382,33,21.5
357,27,19.5
411,41,29.5
389,51,30.5
489,35,36.0
463,40,47.25
429,38,41.75
377,46,28.0
469,36,32.75
420,47,26.25
411,53,19.75
391,46,28.0
380,43,24.25
384,51,44.25
382,46,44.25
389,39,43.5
408,51,38.5
454,55,38.5
470,48,47.0
429,53,32.0
450,39,35.5
396,41,28.5
393,28,23.25
416,44,25.0
371,49,20.0
436,59,30.5
