flow,out,speed
425,27,19.25
428,33,26.0
431,40,29.75
409,38,23.0
418,36,22.75
428,20,21.0
403,26,21.75
452,34,27.75
433,35,28.25
392,24,21.25
428,32,24.5
408,28,20.75
405,27,22.75
428,26,25.0
427,43,23.5
407,30,20.75
416,44,26.25
401,25,27.25
401,28,22.5
391,32,21.5
435,30,27.25
374,41,20.75
372,31,21.25
398,40,23.0
386,21,18.5
361,31,17.75
400,35,20.75
365,35,18.5
384,34,21.0
385,25,21.75
367,39,22.25
379,38,21.25
389,28,20.0
387,42,21.5
406,38,21.5
374,24,23.0
399,27,20.5
374,34,18.25
329,37,15.5
387,33,20.75
374,36,20.25
425,47,22.5
365,37,19.5
372,40,18.75
378,36,20.25
397,37,20.5
390,41,22.25
340,49,14.75
