flow,out,speed
410,28,22.0
396,27,24.0
361,34,16.5
427,27,24.0
420,40,22.75
360,22,19.0
393,18,20.75
398,36,19.5
388,21,21.0
395,29,24.0
370,24,20.75
391,19,21.0
367,14,18.0
428,31,24.75
391,31,18.75
397,26,19.75
396,28,22.5
399,20,19.75
403,33,21.25
410,30,21.75
360,25,16.5
384,39,19.75
439,28,29.0
379,25,17.75
326,29,14.5
339,30,17.25
337,43,14.5
317,29,13.75
436,44,24.75
410,30,20.5
411,35,29.0
410,30,28.5
397,26,25.5
403,31,22.25
367,37,19.75
354,43,30.0
413,36,30.75
416,24,32.0
380,47,47.25
383,52,21.5
387,56,24.5
449,56,33.25
413,61,33.25
369,45,46.0
349,65,80.0
347,64,100.25
286,62,103.75
343,31,99.5
