flow,out,speed
485,55,52.0
399,58,49.5
439,53,46.75
456,53,58.5
452,72,59.0
448,59,58.25
461,50,65.75
445,41,66.5
368,57,63.0
392,43,71.0
392,54,69.75
390,56,68.25
424,43,73.75
510,58,85.5
535,60,64.5
487,60,79.0
485,70,76.75
472,51,81.5
430,55,94.75
460,54,91.25
445,68,91.5
444,51,91.25
415,45,90.5
412,44,90.75
449,38,92.75
490,50,87.25
542,71,86.25
533,61,83.75
497,88,73.25
521,93,72.75
495,60,67.75
426,72,39.25
485,62,38.25
442,83,31.25
356,69,27.25
374,71,56.0
351,45,65.5
340,67,66.75
353,73,65.0
350,60,58.25
341,61,67.0
357,71,61.25
534,63,67.5
353,63,93.25
415,54,86.5
535,55,78.25
409,45,54.0
371,66,47.25
