flow,speed
84,74.42
76,81.41
72,82.94
85,81.92
69,82.24
53,81.63
56,82.24
65,83.80
50,83.87
55,83.93
58,82.55
71,82.29
55,81.72
70,79.01
61,80.47
57,82.85
57,82.28
52,81.13
52,81.12
54,82.75
47,84.31
52,83.40
73,81.26
69,81.85
57,82.19
48,81.90
59,80.29
58,81.64
61,83.36
57,81.90
62,82.72
58,84.30
65,83.17
63,81.18
57,81.65
59,76.56
54,83.12
62,81.97
70,79.46
64,82.15
57,82.18
69,78.06
68,80.39
65,79.80
56,81.67
65,81.61
68,82.38
60,81.25
61,80.98
57,82.11
53,81.63
57,80.35
50,83.06
56,79.19
61,80.61
53,80.50
50,82.26
55,81.59
52,83.61
48,81.42
47,83.47
59,82.28
50,79.92
60,79.48
58,79.63
57,82.05
49,83.18
46,81.67
51,80.78
54,81.45
51,81.36
41,83.05
56,81.17
62,79.48
63,79.87
60,81.60
41,82.78
53,82.83
54,82.86
69,81.96
66,81.22
65,82.91
65,81.79
67,78.50
57,81.45
50,84.07
58,79.91
55,80.83
62,81.58
48,83.93
61,82.93
56,81.63
56,82.04
51,82.17
63,82.73
67,80.64
60,79.83
59,80.98
66,82.60
69,82.14
50,82.03
62,83.58
58,82.18
63,84.02
62,83.54
61,82.69
63,82.22
58,81.64
71,82.07
55,81.02
52,82.27
58,80.57
59,79.52
51,80.35
51,83.32
59,80.07
62,80.26
52,82.36
51,82.49
54,82.78
49,83.01
56,80.93
59,82.02
66,80.61
63,83.17
63,82.89
51,79.47
84,78.31
65,79.10
56,81.54
54,83.61
66,80.84
57,79.09
57,83.07
56,81.29
57,81.05
53,81.67
56,82.40
46,82.63
59,82.48
62,80.56
56,81.04
55,82.75
50,80.05
62,78.75
53,82.10
60,82.76
53,83.44
66,83.29
58,82.17
57,81.46
50,82.86
53,80.93
61,81.36
51,81.28
62,82.82
71,82.36
63,82.37
64,79.74
65,80.87
62,80.70
59,82.38
64,81.45
59,81.29
49,82.69
67,80.62
70,80.45
71,82.00
62,80.36
60,82.08
57,81.01
65,81.23
65,79.73
62,81.82
54,82.95
47,82.59
70,78.17
54,76.67
60,80.97
62,83.00
68,79.65
60,80.54
64,79.81
56,80.84
66,79.06
61,80.80
54,82.65
59,81.90
63,79.25
55,80.03
56,78.88
65,81.91
69,82.43
59,81.98
70,81.30
70,79.57
69,80.10
69,83.15
82,78.92
75,78.76
77,80.48
57,80.24
76,78.49
72,76.86
60,79.62
57,80.05
68,80.37
48,80.75
56,79.99
57,83.14
69,79.60
65,77.78
69,77.33
67,84.12
61,83.83
60,82.82
78,81.42
71,80.74
68,82.16
58,79.50
72,81.78
58,83.64
59,81.39
62,82.18
54,83.22
66,82.02
64,81.71
73,79.21
72,80.39
80,82.20
62,82.03
73,81.21
69,83.59
69,78.66
66,80.12
78,80.75
61,80.01
57,81.55
73,80.24
68,82.86
60,83.03
72,82.57
69,82.53
82,79.56
72,80.76
68,82.24
78,80.62
58,80.69
66,80.69
66,81.68
71,82.56
68,81.46
83,80.27
82,78.17
64,81.02
60,83.45
82,80.07
67,82.13
88,81.93
89,84.31
82,85.89
93,83.69
86,86.29
73,86.41
85,85.45
87,85.21
79,85.73
65,85.47
71,83.09
73,82.18
80,80.22
71,82.26
85,79.96
73,82.32
74,78.51
82,78.23
69,80.49
74,80.05
65,82.58
89,78.99
66,78.89
76,82.27
65,81.40
75,83.92
77,81.25
85,83.86
82,80.15
57,80.59
80,84.80
91,81.10
81,80.87
57,81.69
82,82.60
83,83.17
82,81.20
73,82.04
68,82.82
72,79.76
76,82.27
69,81.43
54,80.40
68,79.11
66,83.85
61,83.70
60,84.04
75,85.16
64,84.65
70,82.02
74,82.16
72,80.21
79,83.21
71,82.38
66,82.75
64,80.67
61,84.21
67,85.13
79,85.37
75,82.48
74,81.15
70,82.43
84,82.88
67,80.06
66,83.62
76,87.99
91,88.24
80,88.78
94,87.24
90,88.22
92,81.84
77,78.27
97,79.82
87,78.84
63,82.38
79,81.60
69,80.38
84,81.03
63,81.02
69,81.06
69,83.30
62,83.60
81,83.10
80,83.30
82,83.04
75,82.79
71,84.43
78,82.02
60,81.83
69,83.39
86,79.10
63,81.13
72,80.48
80,80.80
70,83.17
74,81.42
84,81.87
87,82.04
82,82.43
66,81.87
60,81.44
78,80.68
71,82.20
73,78.03
67,80.38
79,79.36
84,81.59
74,80.76
58,80.46
63,79.36
69,82.89
71,81.53
78,79.74
54,82.62
68,81.75
68,81.77
68,82.17
85,83.57
74,83.25
80,83.49
75,82.91
79,82.20
68,82.92
89,85.02
83,86.59
86,85.63
87,86.38
88,86.74
92,84.44
88,82.80
86,83.26
74,84.61
85,85.54
85,82.37
73,82.07
77,83.92
86,81.75
70,82.27
74,83.29
58,82.37
77,81.02
59,81.50
77,80.94
67,83.32
69,80.42
70,82.59
69,80.81
72,83.39
65,79.98
64,83.06
70,82.61
72,82.89
80,80.52
84,81.77
75,80.13
70,81.77
71,82.90
73,81.69
68,82.63
66,82.35
63,82.31
72,81.90
67,80.36
58,81.93
71,83.32
81,80.00
58,81.76
74,81.01
65,80.80
79,79.53
77,79.32
74,78.14
63,75.34
69,80.86
69,80.77
70,81.00
79,81.94
75,79.57
83,81.71
84,80.64
63,80.88
81,83.28
81,81.80
85,81.42
89,81.71
89,82.78
69,83.72
79,83.95
78,84.23
64,83.29
78,83.37
56,81.08
75,80.31
85,83.06
74,80.01
86,80.59
72,82.83
63,84.71
77,83.30
59,83.43
71,84.91
56,83.98
73,84.53
59,84.78
70,85.65
61,84.37
59,83.09
55,82.01
55,81.84
50,81.35
53,81.81
46,81.57
40,80.47
46,80.86
46,81.79
50,82.02
50,81.45
52,81.33
57,80.33
43,82.39
43,81.71
44,81.00
52,81.80
58,80.94
50,81.86
57,81.54
58,79.37
54,80.14
74,79.19
65,79.54
75,81.86
62,81.01
62,80.60
59,80.97
74,82.00
72,83.60
76,80.70
63,81.60
83,80.25
74,80.47
72,81.40
60,82.14
60,81.02
75,77.19
65,79.55
69,80.93
78,81.52
67,81.26
62,82.58
78,82.87
82,79.35
87,79.85
89,80.81
97,84.50
87,87.59
86,87.48
82,87.66
96,85.80
84,87.48
83,87.48
71,88.07
81,83.00
71,81.78
78,85.33
69,80.67
60,85.08
85,82.90
72,81.92
66,84.19
88,81.65
81,80.76
83,79.82
54,79.77
92,80.04
51,79.68
72,83.24
78,83.91
83,81.48
76,80.33
50,81.19
67,83.49
75,81.97
78,82.13
66,82.98
82,82.27
71,81.61
91,76.93
70,80.17
83,81.18
71,80.60
69,83.33
79,81.52
66,83.57
68,85.12
72,83.05
83,79.41
74,79.54
75,81.05
73,82.03
84,81.93
56,82.03
72,83.16
75,82.75
75,81.52
53,81.74
72,86.23
67,83.60
68,85.06
47,83.96
72,87.28
76,83.05
72,82.73
76,81.68
61,81.73
74,82.80
59,83.29
74,85.47
68,79.76
78,82.61
78,81.11
71,79.11
67,80.25
75,80.24
70,82.66
86,81.56
66,81.14
78,82.22
69,82.78
70,82.15
45,84.39
0,45.87
0,0.00
