flow,speed
89,77.26
70,82.49
75,84.54
60,84.72
71,84.02
66,82.36
73,80.10
52,82.66
64,82.49
56,82.44
73,78.49
72,80.35
69,75.27
68,77.96
60,82.17
65,81.85
54,81.96
63,81.07
57,82.68
37,85.58
65,82.29
75,81.52
65,81.31
55,83.15
56,79.44
73,80.52
66,81.81
60,81.11
63,82.90
64,82.74
76,83.02
63,82.63
71,81.73
48,82.80
63,78.73
77,78.58
78,78.53
64,82.13
68,80.48
62,81.62
80,80.42
74,78.83
63,81.77
54,82.71
74,81.02
81,79.99
69,79.83
51,81.53
54,81.07
48,81.05
60,81.69
72,79.98
57,80.83
53,82.50
57,81.81
73,82.30
61,81.14
48,81.16
55,80.77
63,80.63
70,82.94
57,82.41
48,80.01
48,82.76
57,80.15
73,79.51
63,79.18
60,81.64
54,83.13
65,82.30
67,81.91
58,82.26
65,82.21
54,76.99
72,81.21
91,80.34
64,79.61
68,80.94
61,81.65
51,81.63
80,80.52
61,81.87
59,82.16
65,78.73
58,79.92
82,81.82
64,81.47
70,79.21
65,80.36
58,80.78
70,84.00
77,80.99
73,78.49
64,80.34
58,82.11
82,81.38
78,79.71
64,79.90
59,81.84
58,80.80
80,80.19
68,78.19
49,80.30
58,79.67
53,83.01
72,79.93
69,77.40
57,81.31
60,81.48
55,81.31
68,82.08
66,81.78
51,79.28
66,82.53
52,83.34
76,80.70
68,78.10
54,80.40
60,81.00
70,81.46
75,82.43
78,77.93
56,79.25
57,81.61
56,82.81
72,83.50
67,83.34
59,82.16
50,82.11
51,82.77
73,81.10
71,75.41
49,81.26
52,81.58
67,81.70
71,80.99
67,80.58
53,80.02
55,82.87
62,80.67
83,79.37
67,77.78
75,80.65
50,81.77
59,84.38
79,80.89
77,79.27
58,79.31
53,83.00
49,79.88
79,82.54
65,79.44
63,81.86
75,80.93
69,80.13
85,79.37
81,79.59
63,82.13
67,81.34
58,82.71
84,80.44
71,81.39
56,81.40
65,80.51
60,81.69
87,77.28
69,76.38
66,79.98
63,80.87
54,79.48
70,80.74
82,80.03
57,79.20
59,79.58
50,81.24
86,78.95
63,80.16
60,81.69
68,81.63
67,79.70
71,81.49
84,78.68
66,79.25
72,81.36
82,80.25
81,78.01
78,79.52
60,78.34
52,81.62
61,80.76
78,80.91
70,79.49
58,81.59
48,81.12
66,80.94
79,81.72
74,82.10
67,83.15
75,82.40
63,81.64
84,82.94
75,81.22
73,80.13
61,82.41
55,82.77
70,81.87
78,81.86
64,81.53
57,81.16
71,81.72
85,78.62
93,73.66
84,77.92
73,81.70
65,80.18
80,81.46
76,79.20
75,78.44
64,79.52
64,82.66
71,84.38
81,82.22
80,78.35
68,81.44
72,82.52
97,81.32
86,80.31
67,80.65
72,81.46
81,81.29
87,80.62
87,77.06
62,80.58
68,80.22
81,81.18
69,81.41
68,80.96
83,81.88
96,82.60
68,86.19
83,85.73
89,86.09
85,85.79
91,85.10
88,85.61
88,84.48
82,82.30
67,82.68
59,83.30
66,82.71
79,81.66
70,83.20
82,88.85
90,93.78
84,93.40
81,93.38
84,93.22
85,94.23
79,95.87
85,96.62
83,92.94
85,94.48
76,103.12
78,101.76
80,102.35
75,90.64
79,90.52
71,92.23
85,95.02
79,92.65
77,96.79
81,95.63
77,95.60
70,101.59
80,89.02
65,79.70
76,100.87
73,96.74
69,88.77
69,93.79
82,98.49
57,83.71
50,88.40
76,88.75
90,88.26
92,87.64
88,86.83
82,87.93
73,87.75
84,88.30
78,88.78
82,88.95
81,84.61
65,80.55
83,82.68
94,79.15
87,77.87
70,78.89
89,82.24
69,84.03
88,83.26
81,82.63
78,81.91
75,81.31
72,81.75
86,80.96
93,78.93
75,79.43
77,82.27
79,83.52
92,83.08
95,80.65
88,82.22
63,80.77
69,77.34
77,80.76
81,80.68
77,79.04
61,79.58
57,82.37
88,81.46
72,79.08
71,81.91
68,80.43
72,82.46
89,79.71
72,78.86
72,81.33
72,81.36
82,82.56
78,92.42
83,93.50
79,92.54
81,90.98
85,86.82
99,85.81
93,84.67
90,86.33
86,85.41
81,83.58
83,83.45
94,83.24
98,83.74
94,82.60
83,81.20
91,81.58
94,80.74
89,78.06
69,79.12
65,80.49
99,79.32
100,76.82
72,76.01
58,81.18
69,80.86
76,81.88
66,78.43
