flow,speed
9,18.95
42,88.99
49,85.29
48,84.60
48,81.89
38,84.88
42,89.69
29,85.06
31,91.03
24,94.17
31,92.50
45,87.70
35,86.40
27,83.76
34,86.99
29,89.41
32,87.55
23,87.88
32,87.76
24,90.21
29,92.17
45,88.09
33,88.52
36,78.78
30,90.23
22,86.82
44,87.56
28,87.86
33,88.99
32,84.97
28,87.79
60,85.32
39,85.46
36,86.81
25,90.17
39,85.31
49,83.80
31,87.14
27,85.93
28,84.65
34,88.63
52,82.27
44,83.36
34,85.83
29,88.53
34,88.78
43,83.82
25,85.39
27,87.97
31,88.20
32,85.48
43,80.93
27,87.16
34,91.68
31,92.62
26,90.65
38,85.53
28,85.73
29,88.43
33,89.45
29,93.16
28,90.72
35,86.35
25,89.78
33,88.73
23,87.69
18,90.52
33,90.71
31,88.92
21,87.06
32,89.44
47,83.15
30,88.46
26,91.15
47,85.23
36,86.05
49,82.58
45,80.40
35,86.82
32,87.57
25,86.85
37,83.50
18,92.80
31,92.30
26,89.77
28,86.67
37,84.43
39,88.10
24,90.47
42,87.44
35,86.38
51,89.99
48,80.29
31,87.27
33,90.99
29,89.53
52,85.13
41,82.85
36,89.07
36,85.38
47,86.38
41,84.02
34,82.63
25,92.13
40,86.94
20,87.57
26,88.16
41,83.70
32,86.47
32,88.72
24,87.51
49,87.00
32,88.61
32,91.48
34,87.22
32,88.54
44,84.68
31,89.14
29,88.24
39,90.22
34,88.21
36,90.23
31,87.36
24,88.88
26,88.04
29,91.34
42,85.57
29,89.70
30,89.33
27,91.95
34,87.87
43,87.44
19,88.82
22,87.60
24,89.52
29,90.04
39,89.44
35,89.57
32,91.26
28,88.58
25,86.48
42,81.72
30,84.98
34,89.19
40,85.65
37,83.53
44,89.18
25,86.56
27,86.81
26,89.05
27,90.67
33,89.09
36,83.73
28,87.59
32,90.09
39,88.92
41,85.71
42,80.32
42,83.98
38,85.40
41,86.79
49,80.81
36,85.29
30,88.94
33,88.12
31,88.16
45,87.13
34,84.51
36,88.24
38,86.96
30,89.02
48,87.17
45,81.81
29,91.50
25,90.80
32,88.69
42,83.49
24,89.86
39,88.89
41,87.87
29,87.93
50,85.67
37,81.71
34,90.51
36,83.97
51,82.77
52,79.81
42,73.57
45,79.92
33,86.25
31,91.39
41,85.18
39,85.96
30,85.11
36,87.55
41,86.52
51,85.34
45,83.66
32,86.50
33,90.06
39,85.94
46,83.89
53,75.00
48,77.40
43,83.15
36,86.65
40,83.92
41,82.49
43,86.27
33,85.56
32,87.46
54,85.70
40,84.24
47,83.49
40,85.19
31,83.84
43,81.87
35,83.55
34,87.59
44,85.05
28,86.91
46,91.98
37,87.54
42,85.27
41,87.39
27,86.65
49,84.98
47,82.70
41,86.18
39,87.28
48,79.34
45,81.71
37,84.42
43,85.81
34,88.44
40,81.70
43,84.20
44,84.05
33,88.62
52,89.30
44,89.08
55,88.03
46,89.50
37,94.04
43,91.21
47,91.54
59,84.20
51,87.72
41,89.59
32,86.05
55,78.43
46,83.31
48,85.12
35,87.54
43,85.40
29,87.48
46,83.09
38,80.02
32,85.39
54,78.66
53,73.61
45,80.44
54,83.51
38,86.24
29,84.26
49,83.81
55,78.78
36,84.04
35,84.93
41,87.86
53,72.14
59,76.75
41,84.64
30,88.22
36,88.31
53,77.48
53,80.07
62,74.25
43,78.66
43,86.02
51,84.77
45,83.71
50,79.01
53,81.25
52,79.49
39,84.01
58,84.15
52,82.17
40,86.76
25,88.11
37,82.93
48,85.48
45,82.42
41,86.81
40,86.16
60,78.37
52,76.74
53,81.07
44,88.27
36,94.74
46,92.44
56,88.59
40,93.24
36,93.90
31,89.43
52,85.26
41,79.54
57,77.25
39,83.60
54,82.00
45,82.37
55,82.02
48,79.25
37,84.19
48,82.88
38,86.88
55,86.73
51,84.81
45,89.14
31,89.80
36,90.60
50,87.78
52,78.94
45,79.69
40,86.66
38,85.11
62,75.58
55,71.40
35,82.19
37,91.10
46,89.20
48,83.87
50,83.09
48,82.67
51,83.91
42,82.82
67,77.81
58,71.05
39,71.01
26,87.57
45,86.63
47,84.20
43,84.35
26,85.60
29,90.03
60,79.90
65,77.99
59,80.71
57,72.14
53,76.91
36,80.25
51,84.41
59,79.54
59,77.52
55,79.57
53,88.17
54,90.53
51,87.58
45,87.58
47,87.43
39,91.50
52,87.78
51,83.48
38,79.26
51,84.03
30,83.36
47,84.59
46,79.02
49,82.03
48,82.97
25,82.92
47,86.35
38,84.17
39,85.59
37,87.35
45,83.55
48,85.46
40,83.45
34,83.07
35,82.50
48,77.22
49,83.68
49,86.15
42,86.00
43,87.70
41,87.09
44,84.72
30,87.21
38,89.18
39,85.63
47,87.24
41,82.82
32,84.15
39,89.58
50,83.53
34,85.22
49,87.61
36,84.52
45,89.62
41,79.52
42,88.53
52,84.12
55,82.55
42,85.12
44,87.53
49,86.15
45,85.21
45,85.49
50,87.02
48,86.02
54,77.81
57,77.98
58,79.80
34,85.96
47,77.12
52,82.49
50,76.93
53,75.75
45,80.92
44,80.22
40,84.81
51,81.70
57,75.69
44,82.42
50,83.63
26,81.11
53,85.22
48,75.11
25,89.04
27,88.40
27,90.43
40,86.99
17,88.04
23,92.90
25,90.87
24,93.62
34,91.05
23,82.24
27,92.76
22,90.48
27,85.70
34,87.39
23,90.51
28,92.90
27,93.38
33,90.95
33,86.08
29,90.48
34,90.10
49,83.45
33,80.91
49,83.53
35,82.09
33,89.06
35,86.96
