flow,speed
20,82.92
40,90.05
40,90.99
33,88.07
34,89.48
23,86.49
37,85.69
38,88.06
30,89.61
32,89.93
28,88.04
33,90.51
28,88.77
34,87.51
35,86.99
30,91.45
38,90.04
34,91.41
32,90.17
22,91.50
30,87.73
31,92.05
27,86.04
55,87.03
26,85.48
31,87.94
39,88.78
45,83.16
16,87.07
32,90.58
39,88.88
54,84.79
17,89.74
40,89.32
28,89.63
31,87.08
28,93.46
38,90.72
33,88.55
35,90.39
36,85.12
28,88.35
31,88.72
25,93.31
41,88.95
28,87.32
28,90.93
42,80.05
27,88.35
25,85.53
29,85.61
30,87.20
45,86.74
35,83.44
28,86.98
42,88.89
61,86.43
0,57.94
