flow,speed
0,0.00
2,15.43
39,92.83
46,90.16
44,92.24
68,89.80
72,86.00
70,82.89
38,86.23
47,90.70
65,88.45
66,86.79
64,88.31
37,88.66
43,94.72
61,88.83
62,88.90
63,86.88
29,89.51
32,93.97
51,89.25
50,90.53
39,89.51
29,92.45
53,89.93
59,88.00
56,89.27
52,88.42
41,87.17
37,89.46
51,89.34
56,88.78
68,88.93
47,90.64
48,92.49
62,89.45
53,88.27
52,88.29
29,91.63
43,89.25
70,82.97
66,85.49
47,88.77
49,89.32
54,86.90
80,82.63
73,81.71
54,85.15
41,89.12
41,89.22
71,86.45
67,86.69
42,86.42
32,90.47
40,91.54
57,87.31
61,86.31
53,85.84
34,90.83
52,92.06
50,88.32
57,87.91
51,87.36
25,93.44
42,90.52
69,86.81
62,87.13
60,87.72
39,88.92
36,90.55
58,87.51
54,89.47
48,86.99
34,89.61
48,91.30
61,87.48
69,87.04
49,89.13
26,90.58
45,93.13
54,91.38
66,88.23
67,87.11
37,88.85
50,91.30
65,87.27
78,83.13
30,84.41
41,88.94
43,91.27
64,87.05
59,88.31
68,87.69
37,88.00
37,89.97
47,86.25
65,86.99
63,86.64
49,84.14
38,90.21
66,88.39
65,89.06
63,88.71
49,89.21
52,91.31
50,90.25
58,89.94
57,89.00
47,88.71
51,89.03
65,87.73
64,85.19
54,87.70
37,90.79
48,90.53
61,86.72
57,87.76
53,88.23
49,88.43
48,90.06
52,88.20
58,86.43
62,88.89
63,87.67
37,84.25
69,87.72
59,87.28
40,89.41
54,87.13
48,87.60
74,80.88
60,85.90
51,87.68
36,88.81
67,85.52
58,89.20
55,88.23
49,88.67
43,90.22
32,91.66
55,88.89
59,89.16
44,90.23
32,89.70
26,92.02
62,85.45
63,83.25
60,87.08
30,90.36
40,95.58
52,92.64
59,87.26
54,87.28
31,91.82
52,88.47
56,88.10
60,84.58
53,86.92
39,88.35
45,92.05
73,85.90
70,84.32
49,85.36
37,91.76
37,92.80
66,85.62
65,85.53
60,88.34
43,87.64
47,90.50
59,86.77
54,85.12
74,85.37
53,87.68
51,86.84
64,80.63
47,88.71
51,85.39
59,85.92
53,88.78
73,85.48
65,86.06
60,83.57
38,89.14
37,92.02
59,86.63
77,84.79
74,81.62
29,86.90
45,91.99
53,88.13
59,85.43
68,85.33
46,87.86
47,90.81
49,88.34
60,88.90
71,84.94
69,85.00
40,88.71
69,87.10
62,87.36
64,85.88
60,84.45
53,86.48
78,81.00
75,81.31
48,87.07
34,87.02
37,87.85
59,88.10
64,85.87
64,85.60
24,85.10
73,88.30
59,90.25
60,90.38
60,85.73
74,84.65
64,86.72
57,87.34
60,85.29
60,85.42
61,87.41
48,86.30
53,86.90
58,88.38
50,88.26
41,89.69
62,89.65
72,83.29
70,81.16
64,83.96
70,83.38
55,85.99
77,84.51
71,81.45
57,84.78
58,84.46
41,90.27
69,85.98
69,85.19
79,85.11
61,84.12
43,87.78
72,86.24
73,84.87
64,83.09
84,83.70
49,81.81
62,85.99
59,84.70
59,88.42
66,87.54
58,85.53
68,84.94
69,84.89
63,87.50
67,86.41
64,89.14
71,86.16
69,88.67
67,89.91
85,87.85
77,89.27
69,88.20
69,90.06
71,91.59
84,87.56
71,87.74
61,87.62
61,87.38
63,88.17
72,80.81
76,84.27
68,87.33
75,88.74
61,86.26
63,86.35
73,85.46
54,86.18
63,81.90
71,81.07
43,85.96
69,85.44
64,86.52
75,81.97
71,80.87
57,87.49
59,88.33
55,86.76
74,84.62
66,86.14
75,84.94
69,83.96
68,84.08
74,86.96
81,81.39
34,87.80
66,85.28
59,86.93
70,86.91
64,86.73
60,87.28
56,85.21
58,88.43
55,89.28
58,91.24
41,88.33
76,86.65
69,84.53
74,84.71
64,86.22
37,87.04
63,87.79
70,86.61
76,82.94
70,85.07
69,82.92
63,87.24
61,86.69
80,83.95
62,88.32
79,84.15
60,85.73
58,92.77
67,92.55
66,90.70
71,92.60
78,92.65
77,87.37
72,83.85
79,81.80
68,84.24
62,85.86
70,84.73
69,83.30
58,86.47
56,84.93
69,88.94
64,89.03
66,87.52
56,88.79
47,91.71
60,90.49
79,86.61
71,86.31
64,87.08
54,89.24
28,91.48
67,88.85
73,84.04
79,84.59
63,83.43
41,88.41
69,88.52
73,86.25
74,83.62
82,85.57
48,83.82
51,82.67
65,85.41
67,86.84
52,85.81
78,77.00
65,84.68
67,86.91
43,88.10
39,86.54
74,86.00
58,84.93
57,87.18
60,85.52
35,85.99
49,94.43
65,87.74
73,84.48
66,85.16
59,88.26
52,90.05
72,86.87
73,84.41
89,81.32
53,84.90
52,96.10
68,89.89
75,89.15
74,89.54
76,89.82
49,89.10
71,89.84
71,87.25
73,88.87
75,86.49
47,90.97
62,89.24
71,87.78
75,86.62
55,86.23
37,89.98
55,90.09
62,85.31
58,87.83
33,92.47
58,88.85
51,88.04
54,89.96
40,89.54
56,86.79
76,79.74
65,85.57
43,85.84
45,89.37
35,90.05
64,86.72
83,79.64
68,83.32
35,88.66
40,89.03
62,89.20
75,86.65
70,86.53
55,83.95
40,92.19
39,92.33
71,86.40
62,87.44
61,84.94
35,88.98
46,89.13
68,87.12
68,82.55
81,82.73
41,85.23
45,87.96
47,86.62
65,88.46
81,82.43
78,85.35
43,88.76
68,87.05
67,87.08
64,86.36
62,88.44
63,86.27
63,89.14
76,86.92
68,89.21
47,90.59
62,88.73
49,88.71
67,87.63
47,88.01
43,87.26
44,90.40
74,86.70
56,86.15
55,85.57
39,85.77
66,88.75
68,86.03
54,84.63
50,88.59
36,91.90
46,93.27
51,87.86
74,83.46
41,86.91
25,95.18
35,92.66
53,91.09
45,88.74
29,90.75
30,93.54
37,93.06
46,90.00
43,89.61
28,91.12
31,94.50
31,91.65
46,90.80
44,90.21
30,91.13
44,90.57
32,94.73
53,90.57
58,87.86
34,87.47
45,88.79
59,87.38
53,88.34
70,86.79
