flow,speed
0,0.00
7,17.41
44,94.56
43,87.23
54,85.96
62,88.14
66,84.85
57,82.69
60,87.06
60,87.95
50,87.69
53,89.36
63,88.55
59,83.59
48,86.94
53,86.30
54,87.22
52,86.07
55,86.06
53,88.11
52,88.63
43,90.11
59,87.96
50,86.49
51,83.03
58,82.69
64,85.07
64,84.29
59,87.96
44,89.19
58,86.41
68,87.41
63,87.71
63,87.46
54,88.13
44,89.18
72,84.87
71,82.50
65,84.74
47,87.27
56,85.82
51,84.84
74,84.20
70,82.19
61,81.54
54,88.36
61,87.92
59,87.70
55,85.33
53,87.74
45,84.65
63,86.67
61,82.99
61,83.22
57,88.39
47,89.36
61,88.64
54,86.78
46,86.91
53,87.00
43,89.67
53,88.72
53,88.25
55,87.73
60,86.53
38,88.02
44,87.94
45,88.27
48,89.01
41,86.26
67,84.36
45,86.45
48,87.40
61,87.90
58,89.34
52,87.47
64,83.20
64,86.69
68,87.37
68,85.45
65,87.16
55,86.16
57,86.07
50,87.49
53,90.18
52,87.31
60,87.15
52,85.65
47,89.62
50,89.53
60,86.51
61,84.22
54,87.25
55,88.48
68,85.20
54,86.11
55,89.44
64,85.40
58,84.68
53,88.48
51,85.96
60,83.40
65,82.65
61,85.52
49,86.14
48,87.57
57,86.69
43,88.71
66,85.27
63,84.69
50,86.34
60,87.48
66,86.72
56,87.92
53,88.99
61,87.28
51,87.90
49,89.16
60,88.36
62,87.39
54,86.71
53,87.10
40,91.65
59,89.67
64,86.48
59,84.09
60,87.34
45,87.73
44,88.59
58,88.48
51,88.70
56,88.37
51,88.07
45,87.89
52,88.96
52,87.54
53,86.61
53,88.22
55,87.83
47,88.34
42,88.41
56,86.76
56,88.32
64,86.14
54,85.64
53,85.81
50,85.99
61,89.73
54,87.61
72,82.66
58,86.43
58,86.23
37,87.68
56,84.14
56,83.67
54,89.87
58,87.48
61,84.84
67,81.94
56,85.06
72,87.19
61,86.64
77,81.62
58,82.36
46,87.86
53,88.28
47,87.08
72,85.38
57,86.76
50,81.47
54,86.71
59,86.90
52,87.49
77,82.61
63,84.09
52,87.65
51,87.55
53,86.30
61,84.98
69,87.46
59,86.25
49,87.83
54,86.59
71,85.08
70,83.11
69,82.53
64,80.99
50,84.75
69,86.10
73,83.02
67,81.50
58,84.43
56,84.53
44,87.42
54,86.38
60,88.59
66,86.28
67,84.78
62,85.13
62,85.02
52,86.60
76,85.90
67,84.01
65,84.83
58,84.75
61,85.48
77,84.79
56,83.29
74,84.82
60,85.83
58,86.22
49,85.49
68,85.30
59,85.94
59,83.24
56,85.51
71,85.21
62,84.34
74,82.61
56,84.79
44,86.86
75,81.15
68,82.51
58,87.05
66,81.45
61,84.78
57,85.84
63,86.41
69,86.43
72,85.07
61,84.44
53,87.99
60,85.33
63,86.85
67,85.92
68,85.32
56,84.12
61,85.18
63,87.28
