flow,speed
0,0.00
5,19.21
58,94.31
44,90.95
50,93.74
56,90.57
69,88.68
62,87.12
57,86.86
55,88.68
59,87.91
45,86.88
80,79.10
60,77.42
59,85.24
62,84.80
63,85.35
52,87.56
54,85.86
46,87.98
46,92.14
45,88.05
46,89.90
58,86.41
46,84.34
49,86.69
62,86.68
63,84.85
56,86.75
49,89.41
59,87.41
63,86.45
67,87.01
50,87.49
55,89.28
41,87.94
62,87.65
57,85.66
84,81.36
52,84.49
57,86.99
65,87.75
69,80.99
78,82.30
59,84.15
48,86.02
58,89.56
64,88.63
71,85.80
49,87.75
44,86.51
54,87.18
44,87.98
55,87.24
58,86.30
47,89.28
60,89.12
54,88.31
52,87.57
54,84.81
47,87.94
51,89.39
57,86.94
50,89.46
61,87.00
43,88.18
50,84.22
61,83.27
62,87.45
56,86.30
52,86.23
48,88.93
58,85.47
58,85.32
45,90.48
63,85.41
52,88.38
58,87.39
63,85.07
74,85.66
59,85.67
52,85.31
60,87.74
64,86.99
51,88.19
60,85.75
67,85.04
54,85.38
46,87.26
64,86.51
58,85.88
61,86.49
48,87.09
58,88.91
76,83.65
67,84.73
64,87.38
53,87.77
60,88.00
61,86.62
52,86.44
62,87.29
51,85.79
58,83.89
46,87.50
57,85.93
49,86.84
47,86.43
61,86.02
45,87.10
58,86.76
60,85.19
47,84.39
51,86.92
79,81.82
59,82.76
54,86.76
54,86.52
51,88.41
68,82.43
48,85.70
49,88.92
51,87.35
65,82.27
61,84.60
58,89.16
49,87.84
44,88.99
49,88.76
58,86.83
54,88.95
55,87.02
34,85.04
62,87.04
56,86.22
55,85.49
52,88.91
58,85.58
38,86.58
56,87.08
58,84.92
57,85.28
56,86.08
61,82.51
58,85.60
54,89.69
53,89.71
60,86.72
65,87.10
64,83.96
46,84.74
50,87.64
49,86.78
66,88.32
60,86.09
77,83.75
53,83.46
50,85.44
68,86.48
65,86.73
68,84.94
55,86.09
51,87.65
55,88.72
54,86.99
59,85.53
48,88.81
61,83.46
66,85.46
54,86.13
59,85.32
63,81.91
60,86.63
55,88.77
49,85.95
57,86.09
63,86.54
60,86.80
63,85.61
41,89.09
49,88.77
73,84.21
57,85.16
53,86.14
80,81.87
52,84.97
53,86.74
70,85.57
68,82.35
72,82.31
50,83.81
52,84.19
45,84.88
55,86.04
54,86.42
55,85.68
59,85.76
57,84.45
53,86.65
68,87.34
60,86.08
70,85.35
57,86.84
59,85.48
64,86.29
60,85.58
65,86.09
58,85.76
56,87.33
54,85.52
58,85.66
62,86.17
73,79.13
73,83.81
69,85.20
67,86.55
69,84.73
56,86.37
72,83.86
57,84.79
61,86.86
74,84.60
63,87.37
66,87.19
78,84.14
56,83.13
57,87.02
65,86.80
74,85.09
67,84.23
59,84.04
52,86.66
72,87.83
66,81.13
78,79.13
70,80.57
57,84.28
56,86.22
63,86.14
67,86.30
76,86.88
64,89.24
75,88.20
72,88.29
75,87.55
70,87.50
70,88.43
77,86.52
77,86.61
78,82.14
53,84.59
58,87.64
65,85.82
80,83.35
72,86.65
70,96.01
71,99.05
71,96.72
67,98.31
74,95.76
76,94.85
72,91.85
72,97.83
77,97.85
69,99.29
67,106.20
66,104.55
64,105.30
65,106.33
68,111.48
66,108.99
68,112.49
61,110.13
64,113.36
61,112.31
66,110.82
67,108.72
67,108.16
59,108.14
62,107.00
71,101.82
74,99.16
66,103.99
69,104.21
62,102.40
82,89.04
80,87.56
74,88.94
80,87.46
78,88.19
76,88.18
73,90.40
73,89.48
78,89.33
76,87.22
84,80.29
79,79.94
82,81.60
81,80.78
87,78.08
76,80.21
63,86.89
74,86.93
73,86.37
71,87.18
75,85.42
61,82.56
63,83.60
62,85.73
76,82.16
65,85.81
71,86.00
68,84.09
71,87.31
75,87.75
65,85.64
64,83.37
49,86.60
55,88.45
78,84.94
73,83.63
64,84.15
50,88.67
50,87.35
63,86.91
70,85.72
66,83.77
63,85.38
58,87.19
67,86.98
72,83.70
96,81.64
80,85.40
64,94.60
71,97.04
71,93.79
79,89.11
76,88.62
65,89.24
77,88.17
60,89.10
80,86.19
71,85.26
