flow,speed
0,0.00
31,69.18
31,91.06
25,92.90
31,91.85
34,92.09
40,89.71
30,90.88
32,91.58
28,92.99
32,90.39
50,82.06
36,80.82
31,86.35
25,89.44
31,89.22
24,89.82
28,92.69
30,93.07
23,96.73
30,93.26
26,94.46
23,90.94
26,88.65
25,89.67
23,91.57
27,85.93
36,89.88
24,90.95
26,91.44
38,88.87
44,90.10
32,89.61
30,94.06
27,90.39
46,89.63
26,87.63
55,84.77
24,87.60
31,89.78
34,90.05
39,86.58
39,85.55
27,87.94
25,89.84
29,93.88
32,90.17
37,88.43
24,89.69
15,88.82
29,90.24
22,90.18
26,90.30
29,86.91
19,93.03
35,92.22
29,92.19
29,90.63
26,86.94
30,89.08
21,92.70
28,93.49
24,92.32
30,89.50
22,90.64
20,88.86
32,84.42
33,90.76
27,91.51
27,89.06
33,93.96
29,91.52
31,89.58
21,91.93
42,88.13
25,87.47
29,90.40
39,85.72
39,88.24
32,87.03
31,87.63
39,90.06
42,89.52
27,93.13
36,86.77
39,85.70
19,88.38
22,91.35
40,89.43
33,85.45
34,86.26
23,91.25
36,92.67
54,88.39
40,85.89
40,87.86
25,90.04
32,91.76
35,90.19
36,88.22
39,90.72
32,88.72
35,88.01
16,91.56
29,87.77
32,89.10
24,91.23
42,83.95
23,89.41
29,90.86
32,89.79
24,89.39
34,90.10
45,84.62
31,83.48
29,91.77
16,90.60
25,92.00
43,80.29
32,88.20
25,91.10
26,91.28
36,84.28
30,86.53
34,88.75
24,92.16
20,92.92
21,93.87
35,90.74
33,87.94
15,93.45
21,87.31
35,88.13
27,88.80
31,89.38
32,92.20
32,90.47
22,89.37
31,90.33
31,90.58
22,89.10
25,88.07
38,85.59
23,89.83
32,92.16
28,93.47
38,91.49
34,88.09
38,85.82
28,89.63
27,92.75
18,92.73
36,90.23
33,89.97
50,87.14
29,86.84
33,90.30
38,87.86
42,89.38
40,88.13
33,88.18
31,90.29
26,93.17
28,90.73
43,87.63
29,92.14
34,86.99
37,86.67
22,90.08
26,89.12
45,85.21
36,89.19
22,90.53
13,88.90
29,89.58
33,87.32
25,93.05
37,88.40
21,92.14
28,93.78
43,86.38
27,84.85
35,89.55
54,83.99
32,87.99
37,88.30
43,88.50
39,84.27
36,85.89
21,86.09
23,88.59
25,90.68
22,87.96
28,89.56
34,87.85
38,90.45
29,84.74
31,87.80
42,91.53
41,89.91
38,87.36
37,84.71
34,89.70
35,88.95
37,88.32
30,92.31
33,89.39
28,92.16
25,90.45
30,89.58
37,89.47
35,82.99
52,86.09
33,85.85
45,87.50
35,87.57
27,84.76
47,86.41
30,86.87
39,89.83
48,86.24
28,90.21
46,90.27
47,85.52
33,81.91
31,90.52
35,90.10
46,86.82
43,84.42
28,85.02
30,92.48
39,90.78
35,84.12
46,74.51
36,81.21
28,88.12
34,90.70
34,87.83
38,87.84
51,87.89
37,81.06
42,90.36
48,88.45
65,77.78
58,61.68
46,69.41
68,76.86
66,62.50
44,56.54
30,76.44
30,93.61
42,87.66
52,85.88
44,87.61
45,93.01
71,92.23
89,61.71
99,40.24
121,37.97
124,33.62
106,33.27
120,38.50
128,34.36
125,34.56
115,33.93
119,34.21
126,35.84
124,33.40
119,33.21
115,36.14
123,36.64
123,35.85
120,35.17
124,36.28
118,33.33
120,35.24
123,36.53
116,34.95
115,34.41
117,34.35
117,35.32
121,32.77
120,34.69
117,36.18
123,35.15
114,36.29
108,36.19
108,39.55
122,38.61
125,33.82
110,33.98
119,36.13
125,33.56
125,32.68
127,31.87
96,33.64
77,40.22
65,50.47
59,59.32
47,64.89
31,77.26
44,91.16
46,88.41
45,86.34
49,82.73
33,83.52
35,89.37
29,89.41
53,84.71
37,83.82
48,83.70
28,84.48
35,90.31
53,87.32
36,85.73
29,85.59
16,88.97
28,92.86
50,85.78
42,84.97
33,87.19
24,92.31
29,90.24
36,88.64
44,84.97
36,85.32
22,88.33
29,91.34
29,88.88
43,86.70
71,81.45
53,78.40
36,90.30
55,99.80
69,74.64
76,55.76
51,55.88
37,77.79
61,86.45
65,71.79
63,53.34
48,59.79
47,79.39
70,81.17
84,55.84
81,44.65
59,50.24
48,60.98
53,79.54
52,74.57
23,76.51
27,89.88
39,86.47
49,83.44
43,78.44
39,87.23
27,86.58
24,91.05
36,88.82
27,89.66
42,88.04
26,87.42
37,90.21
44,89.65
48,88.67
43,87.74
26,90.29
22,90.12
46,88.14
32,87.59
48,88.05
25,88.93
34,89.27
39,90.48
44,84.13
25,87.74
33,87.60
40,90.17
31,85.65
38,88.01
44,82.00
51,85.03
23,88.74
41,87.56
35,88.32
28,89.48
25,87.73
46,82.30
35,88.55
37,89.87
38,86.83
50,87.52
36,89.28
36,89.46
30,91.56
47,95.10
71,85.98
73,64.12
79,54.51
80,53.75
70,58.60
78,63.91
101,51.19
117,36.09
123,33.57
124,32.16
109,34.23
76,36.87
37,43.26
15,87.33
16,91.23
18,94.32
17,93.00
23,93.81
23,93.63
24,89.06
17,91.27
21,95.42
18,93.79
26,90.60
21,91.61
16,94.19
34,89.99
19,92.43
18,91.61
33,89.02
21,91.41
34,91.80
39,87.18
16,90.00
26,86.17
25,92.08
40,86.59
47,80.42
23,85.40
37,87.40
37,89.92
41,86.56
33,85.75
43,86.60
29,88.07
35,88.48
25,90.17
33,92.15
29,87.70
34,81.61
27,88.06
37,89.30
28,89.09
36,85.56
42,87.50
38,90.10
48,92.91
47,86.14
37,78.69
35,86.61
31,87.22
57,88.86
78,70.62
72,55.82
13,40.39
19,147.71
13,150.96
21,151.19
23,151.05
6,69.44
16,150.28
13,150.20
17,147.62
25,150.76
4,66.29
15,147.70
9,147.84
22,147.47
23,144.72
7,40.56
19,147.22
22,147.41
24,147.49
22,147.39
4,90.17
20,147.46
12,147.28
26,147.42
23,147.77
4,107.80
17,148.94
25,148.59
14,148.75
14,148.58
11,62.69
12,152.66
33,152.35
9,152.11
17,152.75
4,56.81
13,147.56
21,147.37
23,144.77
8,148.10
6,35.45
15,149.96
18,146.67
20,141.14
1,149.32
11,12.50
24,146.78
21,146.95
23,146.70
17,147.09
8,43.17
21,152.73
19,152.37
30,151.92
17,151.71
4,43.56
20,143.54
18,143.37
21,143.29
22,143.13
7,106.06
20,154.16
13,153.91
22,152.00
0,134.87
6,10.00
15,146.62
14,146.29
33,146.68
25,145.94
5,62.31
16,150.66
22,150.11
20,150.78
21,150.31
5,81.77
18,149.42
13,148.29
23,140.30
16,150.16
0,53.01
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
