flow,speed
76,81.78
78,83.48
75,82.38
89,79.47
65,81.59
89,79.90
84,78.25
100,80.78
92,78.74
83,80.09
84,82.82
74,79.00
44,85.63
0,54.47
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
0,0.00
