flow,speed
0,0.00
30,67.60
26,89.11
34,86.78
23,91.15
36,85.97
33,85.76
37,89.88
23,92.10
27,91.40
37,93.17
37,92.68
35,90.01
28,89.98
28,88.10
31,89.93
34,88.62
37,87.87
28,91.80
28,92.13
13,94.60
25,92.60
22,88.96
24,88.70
29,84.86
36,89.43
29,87.26
34,90.17
18,93.08
27,87.44
45,88.95
30,88.58
37,87.96
28,91.28
27,89.60
47,86.81
38,86.05
31,86.78
32,90.24
33,89.05
31,87.31
47,87.65
32,86.28
30,86.33
33,90.88
30,90.32
32,90.59
37,86.13
29,90.20
15,88.98
28,89.60
25,84.47
31,83.45
29,91.32
13,93.55
32,91.78
22,90.93
29,86.26
37,87.50
21,92.81
31,90.71
21,92.96
19,92.77
33,86.29
14,92.36
26,90.18
32,92.84
16,94.83
29,91.55
54,85.58
30,87.92
26,88.06
37,91.63
37,91.44
24,91.84
42,80.65
26,87.37
29,90.72
50,87.36
39,88.99
23,87.43
28,88.22
32,92.52
24,95.21
35,91.91
30,89.90
28,88.21
14,93.67
31,94.11
36,89.40
39,86.98
34,87.25
26,91.17
38,87.82
23,89.92
33,91.49
38,89.50
35,84.26
31,91.27
29,90.38
31,84.51
44,85.28
29,87.21
30,84.86
24,92.68
38,87.83
25,91.91
37,86.81
34,85.37
14,89.03
29,91.94
35,89.53
26,89.98
30,92.41
41,90.67
21,89.80
19,93.03
31,92.88
26,92.01
20,91.49
21,88.01
19,94.35
35,90.35
43,88.19
32,87.34
29,89.64
8,91.74
15,89.85
24,90.29
32,90.75
38,92.35
25,86.73
27,90.31
29,94.59
19,89.73
28,93.03
35,90.07
27,91.55
18,91.31
16,94.57
34,88.73
27,89.01
39,83.63
26,87.90
30,89.29
28,89.77
28,92.71
22,90.67
37,87.78
28,86.71
30,88.51
22,92.42
29,91.39
25,88.17
31,94.80
37,90.50
44,88.20
40,84.21
31,85.59
40,88.03
37,86.84
50,85.46
38,82.91
26,90.92
28,91.21
27,89.05
42,88.17
27,90.56
24,87.27
26,89.27
28,90.80
22,89.76
42,85.33
34,85.96
23,91.53
22,90.63
19,91.15
26,90.14
32,91.17
33,88.44
27,90.71
30,90.74
42,86.33
41,89.73
43,87.35
28,82.44
30,87.21
35,87.96
40,85.23
42,84.63
32,87.58
31,90.77
12,92.90
27,90.30
27,91.78
30,87.68
43,87.93
35,87.09
44,88.24
28,90.36
46,89.04
38,86.04
36,85.52
32,87.80
42,86.14
51,86.73
40,86.52
47,81.86
31,88.19
30,89.14
23,90.56
39,91.85
47,86.92
33,85.25
35,85.31
48,87.99
39,82.92
52,82.74
38,85.63
21,92.24
47,87.64
35,91.10
41,91.93
36,83.43
32,86.17
34,90.83
36,88.66
48,88.36
41,87.07
29,86.76
27,87.65
35,89.06
40,88.06
42,86.48
37,87.50
34,88.17
37,84.50
31,89.84
33,87.46
37,89.38
40,87.34
20,82.07
49,92.86
35,92.03
41,92.83
27,92.00
39,93.08
52,90.52
51,87.52
36,87.89
24,87.64
29,88.01
44,87.69
42,84.09
32,88.39
37,87.04
27,91.09
45,85.92
30,85.70
35,82.72
27,83.65
36,87.74
36,88.07
45,84.14
45,84.61
23,87.47
23,90.98
56,86.46
34,86.21
29,85.04
31,90.49
51,88.71
55,83.45
36,84.44
32,86.36
25,91.60
42,85.50
35,87.62
47,81.60
33,89.48
27,91.28
56,85.94
47,84.70
31,84.28
44,88.24
50,84.34
30,87.11
49,83.50
35,87.58
35,90.49
33,91.02
36,86.44
43,86.64
43,86.32
34,89.05
25,92.94
49,89.24
49,85.72
65,80.11
62,67.37
47,62.46
53,80.43
75,77.15
73,55.15
60,51.92
26,67.76
39,87.49
37,89.90
60,83.27
39,84.99
47,83.81
30,88.03
34,90.70
41,88.26
48,85.25
33,82.15
32,90.76
34,91.70
40,90.35
35,88.97
38,91.77
27,88.86
34,90.25
31,85.84
34,89.11
43,88.45
61,82.90
37,78.77
40,86.33
50,89.80
38,91.12
36,86.87
33,87.87
44,84.21
29,86.74
51,86.81
12,85.41
59,72.05
38,80.08
35,89.30
31,90.21
40,84.83
38,87.74
31,86.20
25,93.13
33,89.72
51,78.36
52,82.68
37,88.13
36,88.53
45,85.82
41,84.22
58,82.98
47,78.72
45,82.89
61,83.96
73,75.62
85,53.76
76,50.31
62,57.54
67,63.32
65,59.08
67,58.87
48,60.36
34,76.86
47,85.25
34,85.22
50,82.43
28,83.80
34,87.85
32,86.22
34,89.91
46,87.80
39,86.74
22,89.24
20,90.58
43,82.67
48,84.73
35,88.91
28,88.21
29,92.19
54,86.09
48,85.03
30,88.30
32,91.02
21,91.08
37,88.80
43,83.12
31,89.59
33,92.19
23,91.26
30,90.79
41,87.26
26,86.55
26,89.16
44,88.38
20,87.08
48,86.70
40,86.99
40,86.44
26,80.92
33,88.03
34,87.64
52,83.85
48,88.68
34,90.06
39,90.31
36,91.56
36,85.96
42,87.37
24,91.46
39,92.02
44,88.68
56,84.60
35,85.46
28,88.25
38,87.10
41,87.70
52,83.08
40,86.45
26,90.60
17,87.87
51,90.22
51,83.10
27,69.91
37,83.94
24,91.95
46,88.99
36,81.61
20,91.20
25,90.83
12,93.94
23,93.42
22,94.31
17,90.99
21,94.30
28,95.83
22,89.46
22,91.33
23,92.49
27,92.19
18,88.83
16,93.21
25,95.10
22,93.56
25,94.42
19,91.76
