flow,speed
8,18.47
46,84.98
32,86.27
48,86.47
43,86.07
38,84.89
27,86.11
31,88.19
29,87.88
29,93.48
29,91.47
30,89.89
36,87.22
29,88.75
34,84.33
27,88.14
30,90.55
33,90.09
28,88.80
27,85.16
30,93.24
25,92.22
18,90.52
34,87.53
33,87.45
38,87.39
29,89.46
34,88.66
37,86.31
33,91.03
29,88.26
27,88.87
27,93.43
40,86.83
38,92.12
43,85.06
35,87.10
27,88.42
33,88.74
47,82.35
39,86.66
32,86.54
43,85.93
43,86.19
35,85.77
24,85.53
32,88.17
34,87.70
35,82.02
28,86.53
35,87.79
38,87.10
27,89.95
24,89.57
23,88.18
34,87.56
28,88.62
23,89.32
30,91.34
33,88.63
22,91.11
22,93.88
35,89.49
31,84.15
30,85.74
38,87.60
30,91.31
31,91.73
30,89.51
30,87.74
36,89.09
28,86.41
17,92.53
27,89.65
33,85.89
35,84.08
36,89.11
25,89.79
26,93.07
30,93.80
39,84.64
34,88.29
36,90.84
40,85.00
45,84.22
31,90.28
23,87.22
34,86.66
42,85.14
37,91.22
28,92.97
29,91.75
37,88.69
35,87.28
29,89.79
28,88.01
43,86.63
37,88.64
35,89.61
37,88.51
40,87.42
33,88.99
32,91.20
25,89.24
31,89.45
38,86.53
39,88.81
30,89.85
24,88.35
32,88.64
32,87.40
25,87.77
22,88.91
34,87.30
24,90.92
22,92.66
40,87.72
32,81.92
21,90.79
35,88.32
32,90.15
19,90.90
37,86.40
32,90.32
37,85.68
40,92.60
39,87.89
18,85.85
53,82.63
37,85.25
28,87.00
26,87.05
45,85.35
35,89.42
28,90.34
35,88.06
34,86.94
33,90.16
31,91.70
22,89.99
33,90.31
30,87.03
33,89.83
32,90.23
29,82.75
38,90.90
22,89.76
34,90.31
27,90.27
31,91.22
33,86.79
34,91.81
31,90.66
30,88.02
36,85.82
28,88.94
38,87.93
40,88.48
38,87.32
29,84.62
28,88.12
41,86.53
34,88.57
43,88.09
39,86.35
23,88.22
36,87.70
44,85.90
42,83.98
26,86.41
24,84.29
27,86.58
38,87.19
27,83.92
36,87.30
36,87.48
20,90.05
29,82.64
32,80.25
27,91.88
40,86.27
32,86.92
37,85.59
41,85.74
36,87.31
34,84.48
31,88.23
28,91.91
30,85.51
29,85.58
29,86.90
34,90.01
31,86.75
36,85.77
39,88.13
42,86.43
36,85.15
35,85.98
39,91.35
48,77.96
49,80.61
40,84.30
27,86.04
47,81.66
37,82.32
28,88.10
41,84.18
37,84.56
29,84.01
38,88.17
27,89.04
39,86.13
53,76.49
39,75.90
40,90.76
31,91.39
34,91.49
46,85.62
40,84.67
48,87.06
32,85.84
38,89.20
33,86.35
37,89.50
30,87.38
23,88.43
30,88.79
34,85.02
37,84.85
43,86.18
42,84.67
28,85.53
42,80.97
41,87.07
41,85.08
38,83.75
58,80.27
30,83.17
28,85.76
47,84.51
31,89.87
37,89.57
46,87.41
32,84.72
40,79.66
38,85.28
39,90.35
42,82.30
42,85.51
39,82.51
37,86.35
40,87.37
35,86.59
47,83.70
42,82.53
33,86.03
28,87.61
37,87.59
36,87.86
53,81.39
53,80.72
57,71.34
50,85.94
48,91.28
37,90.25
46,87.03
45,88.91
44,90.69
38,85.83
37,86.69
51,83.86
47,84.01
41,85.75
44,85.27
35,84.78
46,78.59
55,82.78
32,80.51
38,81.84
37,84.03
59,77.36
38,77.37
37,87.48
29,88.42
44,87.08
40,82.57
51,83.38
44,82.21
30,86.88
54,87.13
56,75.85
45,80.68
24,84.11
47,84.81
46,83.57
42,81.68
26,84.60
36,83.95
43,82.11
40,86.12
35,80.60
33,80.38
39,84.88
41,88.52
42,86.55
27,88.29
47,89.00
42,87.57
42,83.94
52,87.18
37,76.45
48,83.85
45,82.20
29,83.04
39,80.07
38,87.44
36,87.21
40,85.93
33,83.22
34,85.72
43,81.32
43,85.30
39,85.74
44,89.84
41,92.41
52,90.49
45,88.09
48,93.42
36,92.37
45,81.75
49,79.33
59,78.38
45,78.91
40,85.09
42,85.62
44,83.11
53,84.07
33,88.17
32,85.41
32,89.98
33,84.85
48,86.25
48,84.60
48,80.81
40,86.98
42,86.85
42,85.20
29,88.54
40,87.03
50,81.46
21,86.02
37,88.51
45,86.14
36,87.70
37,83.19
48,86.37
48,84.04
40,85.46
42,82.95
31,86.73
46,84.08
32,82.38
43,81.99
30,87.04
43,82.84
47,83.59
39,84.15
27,85.46
38,84.25
34,87.70
35,84.34
45,83.68
33,84.36
39,87.63
31,87.50
32,81.77
60,85.16
42,78.03
53,78.60
43,86.80
40,86.95
36,84.18
54,88.44
45,87.16
53,86.76
51,89.84
39,92.18
52,85.44
51,85.19
48,85.77
39,91.34
48,90.07
42,85.55
34,83.12
37,87.73
46,82.94
